instr,is_cross,entry,exit,dir,ret,bars_held,z_entry,sig_label,sig_contig,z_sig,z_cf_med,z_cf_l5,spike_made_med,spike_made_l5,sig_minutes,sig_max1m,sig_spike5,sig_spike_share_net,sig_spike_share_hl,sig_last30_share,sig_stale_run,sig_net_move,sig_hl_range,ent_minutes,ent_max1m,ent_spike5,ent_spike_share_net,ent_spike_share_hl,ent_last30_share,ent_stale_run,ent_net_move,ent_hl_range,ent_close_drift,ent_drift_fav
EURCAD,True,2016-08-02 08:00:00+00:00,2016-08-03 12:00:00+00:00,-1,0.00035943240885927784,7,2.042677946734962,2016-08-02 04:00:00+00:00,True,2.042677946734962,1.7812823144704713,1.987731864196943,True,True,240,0.00046367945050873605,0.0012170679000000906,0.40843940419637903,0.3610136341340073,0.24038093289737375,1.0,0.002979800399999899,0.003371251899999761,240,0.0007692801201167887,0.002144805299999941,0.29217123736842543,0.2596831877780822,0.0027928520717014856,2.0,-0.0073409186999997544,0.008259315199999895,-0.07927647561059184,-0.07927647561059184
AUDCAD,True,2016-08-08 08:00:00+00:00,2016-08-11 12:00:00+00:00,-1,0.0017638489306145574,19,2.2504992008454265,2016-08-08 04:00:00+00:00,True,2.2504992008454265,1.9468589643799856,2.2241894595884766,True,False,240,0.0004740603912859855,0.0005978262000001511,0.23304213309113278,0.21915106475150303,0.07875469270079392,2.0,0.002565313800000135,0.002727918300000187,240,0.00041683818382778556,0.00046548460000006564,1.1602151915205368,0.27585335138838624,-0.29992218449683367,2.0,0.00040120539999999316,0.001687435000000015,-0.037306539257886406,-0.037306539257886406
AUDUSD,False,2016-08-10 08:00:00+00:00,2016-08-12 12:00:00+00:00,-1,0.009366804046459376,13,2.091181382240092,2016-08-10 04:00:00+00:00,True,2.091181382240092,2.019240763050115,2.065105543623822,False,False,240,0.0007792309385317719,0.0008200000000000429,0.9213483146067304,0.42708333333337306,-0.011235955056127915,3.0,0.0008900000000000574,0.0019199999999999218,240,0.0009167501206952533,0.0010499999999999954,0.2573529411764712,0.21604938271604954,0.1421568627451051,2.0,0.0040799999999999725,0.0048599999999999755,-0.1106500691562729,-0.1106500691562729
NZDCAD,True,2016-08-11 00:00:00+00:00,2016-08-11 12:00:00+00:00,-1,0.008306967090226158,3,3.182873158622755,2016-08-10 20:00:00+00:00,True,3.182873158622755,2.9093536907330413,3.253615803162654,False,False,240,0.014151332838844663,0.012738698200000065,1.3728155857089082,0.9486665761692306,0.09500996923308523,2.0,0.009279249400000023,0.01342800359999996,240,0.0009001583281975645,0.0013273040000001401,0.855125337687557,0.29498473020248694,-0.25091793785087463,2.0,-0.001552174800000028,0.004499568500000106,-0.14638268887831873,-0.14638268887831873
USDCAD,False,2016-08-16 12:00:00+00:00,2016-08-21 20:00:00+00:00,1,0.0021069818068728636,21,2.319716645419604,2016-08-16 08:00:00+00:00,True,-2.319716645419604,-2.166131817604806,-2.395556852906831,False,False,240,0.0009960005180876252,0.0015600000000000058,0.2977099236641157,0.20051413881747837,0.08587786259542939,2.0,-0.0052400000000001334,0.00778000000000012,239,0.0011546624675707884,0.0042199999999998905,1.0144230769230107,0.45133689839571167,-0.03605769230766023,2.0,0.004160000000000164,0.00934999999999997,-0.035661218424932105,0.035661218424932105
NZDUSD,False,2016-08-23 08:00:00+00:00,2016-08-26 16:00:00+00:00,-1,0.014639931298646526,20,2.1742883411742353,2016-08-23 04:00:00+00:00,True,2.1742883411742353,2.1370207287741914,2.2823989993087976,False,False,240,0.0007920576158004788,0.0008400000000000629,0.49122807017544656,0.23595505617979246,-0.5847953216373931,2.0,0.0017100000000001003,0.0035600000000000076,240,0.00043660377537180217,0.0006699999999999484,0.5447154471544503,0.3252427184465847,0.7317073170732081,4.0,0.0012299999999999534,0.0020599999999999508,0.1633562279561894,0.1633562279561894
AUDNZD,True,2016-09-01 16:00:00+00:00,2016-09-05 20:00:00+00:00,1,0.0013354217724125192,14,2.109121218514235,2016-09-01 12:00:00+00:00,True,-2.109121218514235,-1.5850373843478782,-2.05386810559043,True,False,240,0.0006211168350914592,0.0014309644345649186,0.7523154062113364,0.3402875813976434,0.18119333179076025,2.0,-0.0019020804608684827,0.004205162082870029,240,0.0003041298160807032,0.0006965765878230723,0.4485110304175964,0.27689063006861525,-0.23831099650602378,2.0,0.0015530868598137015,0.0025157102197732595,-0.02301190839802667,0.02301190839802667
GBPUSD,False,2016-09-06 16:00:00+00:00,2016-09-08 12:00:00+00:00,-1,0.009363372601893113,11,2.34379303144065,2016-09-06 12:00:00+00:00,True,2.34379303144065,1.9830597638492082,2.3086983635406155,True,False,240,0.0011645355491595177,0.0024100000000000232,0.32700135685211174,0.23956262425447647,0.016282225237435548,2.0,0.007369999999999877,0.010059999999999958,240,0.0005583784834341521,0.0013700000000000934,6.523809523815515,0.6650485436893816,2.9523809523827147,2.0,-0.00020999999999982144,0.0020599999999999508,0.024562480810586443,0.024562480810586443
NZDUSD,False,2016-09-06 16:00:00+00:00,2016-09-09 08:00:00+00:00,-1,0.007245008094981073,16,3.224619768716582,2016-09-06 12:00:00+00:00,True,3.224619768716582,1.8839734533569095,3.2207796032185376,True,False,240,0.003114229365911325,0.0042400000000000215,0.6272189349112469,0.4907407407407443,0.08136094674556973,2.0,0.006759999999999988,0.008639999999999981,240,0.00044519693954170325,0.0006800000000000139,0.9189189189189838,0.4331210191083001,0.05405405405396079,2.0,0.0007399999999999629,0.0015699999999999603,0.07615230460922744,0.07615230460922744
NZDCAD,True,2016-09-08 08:00:00+00:00,2016-09-09 08:00:00+00:00,-1,0.007113828756819245,6,2.000354308221936,2016-09-08 04:00:00+00:00,True,2.000354308221936,1.9604353986087144,1.9804733171850282,True,True,240,0.0004400765729714942,0.0010378215999998774,1.2468280012661392,0.47437790960656284,-0.6066309493561564,2.0,0.0008323694999999853,0.0021877527999999424,240,0.000541178858116019,0.0009631919999998351,1.8800303477515838,0.40589660743128214,-0.18592975319129723,2.0,-0.0005123278999999981,0.002372998399999937,0.14184449330401575,0.14184449330401575
