instr,entry,exit,dir,ret,bars_held,year,z_sig,z_sigprev,z_cf_sig,z_entry_raw,z_cf_entry,gap_sig,gap_entry,gap_sig_atr,gap_entry_atr,gap_sig_bd_bps,gap_entry_bd_bps,gap_z_share,delta_sig_h,delta_entry_h,wknd_sig,wknd_entry,sessgap_sig,sessgap_entry,holiday,gap_made,gap_alone,gap_saved,r1,r2,r3,ret_path,filled_18
EURCAD,2016-08-02 08:00:00+00:00,2016-08-03 12:00:00+00:00,-1,0.00035943240885927784,7,2016,2.042677946734962,1.7691531690037654,2.032098715786401,1.083256199197263,1.1095837771921346,9.327619999988102e-05,-0.00021117039999984932,0.04283551193171022,0.08923635299912035,0.6362742527953693,-1.437555691450753,0.045827923662219015,4.0,4.0,False,False,False,False,False,False,False,False,-0.005121976866157896,-0.005899999020226421,-0.005839525036537285,0.0005646481204404363,1.0
AUDCAD,2016-08-08 08:00:00+00:00,2016-08-11 12:00:00+00:00,-1,0.0017638489306145574,19,2016,2.2504992008454265,1.8806532824829443,2.23598477768613,2.1965485644547833,2.2013140425460183,8.252089999993828e-05,-2.7664000000093836e-05,0.05408830963346076,0.01802717231309761,0.8238277769391887,-0.27547147594937416,0.12161560419307207,4.0,4.0,False,False,False,False,False,False,False,False,-0.0029533685812626054,-0.0025249430088363223,-0.0030768824924383154,0.002062199080353433,0.0
AUDUSD,2016-08-10 08:00:00+00:00,2016-08-12 12:00:00+00:00,-1,0.009366804046459376,13,2016,2.091181382240092,1.9080088824431847,2.0520313411546773,2.874123781822367,2.874123781821434,0.000180000000000069,0.0,0.135033758439661,0.0,2.3404587299119597,0.0,0.42558501434918555,4.0,4.0,False,False,False,False,False,False,False,False,0.0032168464569471977,0.004689619533621903,0.003785285188295351,0.009469672501776438,1.0
NZDCAD,2016-08-11 00:00:00+00:00,2016-08-11 12:00:00+00:00,-1,0.008306967090226158,3,2016,3.182873158622755,0.6561607192676362,3.1889763858139037,2.4984013432980743,2.4246184768532477,-2.7486999999992712e-05,0.00032021239999990847,0.018063817910506767,0.20220296716621633,-0.29175709168420694,3.3657018416815996,-0.004541634761429508,4.0,4.0,False,False,False,False,False,False,False,False,0.003725893290181359,0.00477115785077864,0.008621495785494648,0.008621495785494648,1.0
USDCAD,2016-08-16 12:00:00+00:00,2016-08-21 20:00:00+00:00,1,0.0021069818068728636,21,2016,-2.319716645419604,-1.9353007140728136,-2.3260731788971882,-1.788689951251744,-1.7914582683572644,7.00000000000145e-05,3.0000000000196536e-05,0.04052098408104974,0.016393442623057933,-0.54380758533906,-0.23401301112495157,-0.09824735136548302,4.0,4.0,False,False,False,False,False,False,False,False,-0.000707543502262542,0.0003421089461488336,0.0004898378092585975,0.0022003825400034316,1.0
NZDUSD,2016-08-23 08:00:00+00:00,2016-08-26 16:00:00+00:00,-1,0.014639931298646526,20,2016,2.1742883411742353,1.8340056343051936,2.1916088014509274,2.324742144601987,2.2716697261642613,-6.999999999990347e-05,0.00022999999999995246,0.05156537753215724,0.1701183431952314,-0.957933054162951,3.1401460850563514,-0.10434366373938928,4.0,4.0,False,False,False,False,False,False,False,False,0.004225275324392097,0.00573819648893259,0.008532330171191815,0.014829353396576206,1.0
AUDNZD,2016-09-01 16:00:00+00:00,2016-09-05 20:00:00+00:00,1,0.0013354217724125192,14,2016,-2.109121218514235,-1.579261450367933,-2.1137431035098433,-1.5668132496023037,-1.5768076504601125,1.636204957367049e-05,3.336017095767474e-05,0.01593881462089372,0.03131093434847021,-0.15769530176376206,-0.3221114756275323,-0.010985171193963385,4.0,4.0,False,False,False,False,False,False,False,False,-0.0015289415884243152,-0.0004739263580164632,-0.002049833401864265,0.001624848272822943,1.0
GBPUSD,2016-09-06 16:00:00+00:00,2016-09-08 12:00:00+00:00,-1,0.009363372601893113,11,2016,2.34379303144065,1.7352320514809791,2.362606392351592,2.1604365420271567,2.1369266842566397,-0.00021000000000004349,0.00026999999999999247,0.1487252124646198,0.2095459837019726,-1.5726214101175233,2.0108436606291145,-0.07105603611077066,4.0,4.0,False,False,False,False,False,False,False,False,0.0008268094837283746,0.0007448734087642794,0.001564234158404787,0.009430097354954592,1.0
NZDUSD,2016-09-06 16:00:00+00:00,2016-09-09 08:00:00+00:00,-1,0.007245008094981073,16,2016,3.224619768716582,1.7890980443750295,3.2284561460247105,3.0272934119065305,2.9985668169397655,-2.0000000000020002e-05,0.00015999999999993797,0.015741833923667823,0.1324503311257761,-0.27256497267563407,2.1606146948798557,-0.018190335394283313,4.0,4.0,False,False,False,False,False,False,False,False,-0.00020235541705448945,-0.0019561023648604348,-0.003494003534474599,0.007433188986469164,0.0
NZDCAD,2016-09-08 08:00:00+00:00,2016-09-09 08:00:00+00:00,-1,0.007113828756819245,6,2016,2.000354308221936,1.9461514931274053,1.9982302902441043,1.8227343174880433,1.8404628683755235,1.2870999999914368e-05,-0.00010665430000000864,0.009079351084164997,0.079908185936933,0.1340788115245226,-1.1100686098043666,0.03944432447973574,4.0,4.0,False,False,False,False,False,True,False,False,0.004475825896564922,0.005380150841607256,0.003354170932563072,0.007425127127890008,1.0
