instr,entry,exit,dir,entry_price,ret,bars_held,z_entry,vol_entry,dz_jump,bar_range_ratio,is_max50,oneway_run,counter_share10,accel,flat_bars20,zero_bars20,recross_n,bars_stretch,sig_hour,gap_capture,er40_sig,z_sig_check,cost_ret
EURCAD,2016-08-02 08:00:00+00:00,2016-08-03 12:00:00+00:00,-1,1.4614636495000004,0.00035943240885927784,7,2.042677946734962,0.0018899012091368086,0.27352477773119643,1.4616762654500535,0.0,7.0,0.2,0.3964199225759166,2.0,0.0,4.0,48.0,4.0,2.463560545867436,0.32454196122335865,2.042677946734962,0.00020527366527565484
AUDCAD,2016-08-08 08:00:00+00:00,2016-08-11 12:00:00+00:00,-1,1.0044931112,0.0017638489306145574,19,2.2504992008454265,0.0020135620640245057,0.36984591836248226,1.74812181921003,0.0,1.0,0.4,0.11904141035251234,0.0,0.0,1.0,16.0,4.0,-0.15639622723737423,0.2697700225815553,2.2504992008454265,0.00029865809596405326
AUDUSD,2016-08-10 08:00:00+00:00,2016-08-12 12:00:00+00:00,-1,0.7740100000000001,0.009366804046459376,13,2.091181382240092,0.0022374685344598777,0.18317249979690753,0.641210374639808,0.0,2.0,0.4,0.6713652950685791,0.0,0.0,1.0,39.0,4.0,-4.584269662921022,0.35434376943811013,2.091181382240092,0.00010335783775403419
NZDCAD,2016-08-11 00:00:00+00:00,2016-08-11 12:00:00+00:00,-1,0.9496964192000001,0.008306967090226158,3,3.182873158622755,0.0025793860505933697,2.5267124393551192,8.310013211258322,1.0,1.0,0.3,0.5992336580757383,1.0,0.0,0.0,6.0,20.0,0.16727374522340396,0.14822896035100938,3.182873158622755,0.0003158904192275594
USDCAD,2016-08-16 12:00:00+00:00,2016-08-21 20:00:00+00:00,1,1.2862,0.0021069818068728636,21,2.319716645419604,0.0015023175265294353,0.38441593134679053,3.5262449528937148,0.0,3.0,0.3,0.8229073830227717,0.0,0.0,2.0,21.0,8.0,0.7938931297710033,0.5288798133022166,2.319716645419604,9.329808738920853e-05
NZDUSD,2016-08-23 08:00:00+00:00,2016-08-26 16:00:00+00:00,-1,0.73361,0.014639931298646526,20,2.1742883411742353,0.0022914277827985746,0.3402827068690417,1.1987381703470759,0.0,3.0,0.4,0.9899319587628934,0.0,0.0,0.0,5.0,4.0,-0.7192982456139656,0.22067460983386372,2.1742883411742353,0.00019083709327844493
AUDNZD,2016-09-01 16:00:00+00:00,2016-09-05 20:00:00+00:00,1,1.0373746937990882,0.0013354217724125192,14,2.109121218514235,0.0012126872837722965,0.5298597681463022,2.00669836685756,0.0,1.0,0.3,1.195863994258178,0.0,0.0,1.0,15.0,12.0,0.8165200640905422,0.219586189036855,2.109121218514235,0.0002891915542120425
GBPUSD,2016-09-06 16:00:00+00:00,2016-09-08 12:00:00+00:00,-1,1.3424650000000002,0.009363372601893113,11,2.34379303144065,0.0014462490758174523,0.6085609799596707,4.571960297766635,0.0,5.0,0.3,0.7944763974142157,0.0,0.0,1.0,21.0,12.0,0.028493894165512207,0.4451974071891521,2.34379303144065,6.704085395149966e-05
NZDUSD,2016-09-06 16:00:00+00:00,2016-09-09 08:00:00+00:00,-1,0.7412,0.007245008094981073,16,3.224619768716582,0.0026003198925104156,1.4355217243415526,7.030681227249048,0.0,1.0,0.4,0.7683024096853519,1.0,0.0,1.0,13.0,12.0,-0.10946745562129648,0.4277227722772308,3.224619768716582,0.00018888289260658391
NZDCAD,2016-09-08 08:00:00+00:00,2016-09-09 08:00:00+00:00,-1,0.9601278346000001,0.007113828756819245,6,2.000354308221936,0.0017754911633280402,0.05420281509453084,0.5866681977171959,0.0,2.0,0.2,0.029408653604990308,1.0,0.0,1.0,11.0,4.0,0.615505373515016,0.2666565782550344,2.000354308221936,0.0003124583927149486
AUDCHF,2016-09-13 16:00:00+00:00,2016-09-16 12:00:00+00:00,1,0.7291328586000001,0.005635592679076035,17,2.566008059257429,0.00207548647946786,0.586333517522954,3.110653495552683,0.0,1.0,0.4,0.7371980011519571,0.0,0.0,2.0,15.0,12.0,0.41796056865385606,0.30963406141090527,2.566008059257429,0.00041144764834220567
EURGBP,2016-09-26 08:00:00+00:00,2016-09-27 12:00:00+00:00,-1,0.8706012448581945,0.009782896008670194,7,2.1876562927802974,0.002052310048080732,0.5341195312684546,2.8094812739321195,0.0,1.0,0.5,0.2295246793184155,2.0,0.0,5.0,56.0,4.0,-0.603053616482562,0.3694917295255287,2.1876562927802974,0.00034458944525040823
EURCHF,2016-09-29 20:00:00+00:00,2016-09-30 08:00:00+00:00,1,1.0839901646,0.003358230562306744,3,2.365867430462994,0.0008816988472378994,0.6583930927627424,2.8878340482862517,0.0,4.0,0.5,1.1266439531449552,2.0,0.0,0.0,3.0,16.0,0.033858786640041716,0.23620569317813173,2.365867430462994,0.0002767552785967409
GBPCHF,2016-10-05 20:00:00+00:00,2016-10-18 04:00:00+00:00,1,1.2423065568,-0.025803191510612306,52,2.044203515730112,0.001902175040190408,0.3917502028669664,2.0516820962605458,0.0,1.0,0.4,0.10570181287076136,2.0,0.0,2.0,18.0,16.0,0.16543338881256583,0.17379260110552194,2.044203515730112,0.00024148628883739949
EURJPY,2016-10-06 08:00:00+00:00,2016-10-11 08:00:00+00:00,-1,115.90844214000002,0.007940312051544617,19,2.0545662757757386,0.0015537828295669872,0.06588368920216081,1.4538845150021287,0.0,1.0,0.3,0.03784383506070879,0.0,0.0,1.0,24.0,4.0,0.8036240412853645,0.4246307434311285,2.0545662757757386,0.00025882497811302216
GBPUSD,2016-10-06 12:00:00+00:00,2016-10-18 04:00:00+00:00,1,1.2645049999999998,-0.031451042107385606,48,2.0320821699720213,0.002157015586130586,0.2953966974277449,2.4137074745468503,0.0,3.0,0.6,1.3461793236498574,2.0,0.0,1.0,24.0,8.0,-0.3415637860082233,0.4237659963436931,2.0320821699720213,7.117409579242473e-05
USDJPY,2016-10-06 16:00:00+00:00,2016-10-13 12:00:00+00:00,-1,104.0575,0.004151550825264878,30,2.1367245302453037,0.001549212644598695,0.19971020491858837,2.619808306709283,0.0,1.0,0.4,0.4880970749109493,1.0,0.0,1.0,27.0,12.0,-0.10569105691057318,0.5010141987829632,2.1367245302453037,6.727049948345866e-05
NZDUSD,2016-10-07 04:00:00+00:00,2016-10-14 00:00:00+00:00,1,0.71299,-0.003478309653711845,30,2.174826569658716,0.0019635419929479457,0.4050319157814066,2.911522633744853,0.0,2.0,0.3,0.5603354385431022,1.0,1.0,1.0,16.0,0.0,-0.06360424028267068,0.24566768603465788,2.174826569658716,0.0001963561901288938
USDCAD,2016-10-07 12:00:00+00:00,2016-10-10 12:00:00+00:00,-1,1.3306,0.01176161130317168,7,2.0022473467100594,0.0012641847292155692,0.2238372721314832,1.188884980654228,0.0,9.0,0.1,0.5511755618310098,0.0,0.0,0.0,9.0,8.0,-1.9349112426035169,0.31711766494375365,2.0022473467100594,9.0184879001954e-05
AUDNZD,2016-10-12 12:00:00+00:00,2016-10-17 04:00:00+00:00,-1,1.0715948692838286,0.003817606053596714,17,2.1430660547823406,0.0012594232063192962,0.22496962184868385,1.754216793998711,0.0,3.0,0.2,0.695939732418027,0.0,0.0,3.0,37.0,8.0,0.5367029770630138,0.38402563222006897,2.1430660547823406,0.0002799565475714688
USDCHF,2016-10-12 16:00:00+00:00,2016-10-18 00:00:00+00:00,-1,0.9900799999999998,0.0030906593406591558,21,2.082357064402869,0.0013423004786630923,0.159184324030339,1.4115204981837335,0.0,3.0,0.2,0.27429015703125453,2.0,0.0,3.0,48.0,12.0,0.1470588235294742,0.3475050346833744,2.082357064402869,0.00010100193923723338
AUDCHF,2016-10-18 04:00:00+00:00,2016-10-21 12:00:00+00:00,-1,0.7589127408,0.003684893993283184,20,2.2297193676516947,0.002414814101418127,0.3459868819376952,1.4610746508129742,0.0,5.0,0.4,1.0480797766485785,0.0,0.0,1.0,14.0,0.0,-1.0174989510844341,0.27999536080398596,2.2297193676516947,0.00039530236333067505
EURAUD,2016-10-18 08:00:00+00:00,2016-10-24 20:00:00+00:00,1,1.4335367751143782,-0.001030957464318817,28,2.0887049808093123,0.0019341117077425539,0.11549203018843057,1.1380380088478714,0.0,3.0,0.4,1.0876334706261628,0.0,0.0,1.0,19.0,4.0,-0.24236985480706918,0.39952862431998587,2.0887049808093123,0.00020927262223605238
