instr,entry,exit,dir,entry_price,ret,bars_held,z_entry,vol_entry,entry_close,exit_close,hs_e,hs_x,gross,cost_model,e_exec,x_exec,e_hour,x_hour,e_lab_wd,x_lab_wd,e_lab_hour,x_lab_hour,e_sunday_open,x_sunday_open,e_fri_late,x_fri_late,e_fri20,x_fri20,act_e_ts,act_x_ts,dev_e_bps,dev_x_bps,act_e_hour,trunc_e,e_in_roll,act_x_hour,trunc_x,x_in_roll,fav_e_bps,fav_x_bps
EURCAD,2016-08-02 08:00:00+00:00,2016-08-03 12:00:00+00:00,-1,1.4614636495000004,0.00035943240885927784,7,2.042677946734962,0.0018899012091368086,1.4616136495000003,1.4607883521,0.00010262629939951172,0.00010268427988514765,0.0005646481204404363,0.0002052157115811585,2016-08-02 12:00:00+00:00,2016-08-03 16:00:00+00:00,12,16,1,2,8,12,False,False,False,False,False,False,2016-08-02 11:59:00,2016-08-03 15:59:00,-2.2969672375905414,-8.14524054108201,11,False,False,15,False,False,-2.2969672375905414,8.14524054108201
AUDCAD,2016-08-08 08:00:00+00:00,2016-08-11 12:00:00+00:00,-1,1.0044931112,0.0017638489306145574,19,2.2504992008454265,0.0020135620640245057,1.0046431112,1.0025713371,0.00014930675214687124,0.00014961528865754765,0.002062199080353433,0.00029835014973887556,2016-08-08 12:00:00+00:00,2016-08-11 16:00:00+00:00,12,16,0,3,8,12,False,False,False,False,False,False,2016-08-08 11:59:00,2016-08-11 15:59:00,-1.042035613414427,-7.416727072793172,11,False,False,15,False,False,-1.042035613414427,7.416727072793172
AUDUSD,2016-08-10 08:00:00+00:00,2016-08-12 12:00:00+00:00,-1,0.7740100000000001,0.009366804046459376,13,2.091181382240092,0.0022374685344598777,0.77405,0.76672,5.167624830437311e-05,5.2170283806343915e-05,0.009469672501776438,0.00010286845531706258,2016-08-10 12:00:00+00:00,2016-08-12 16:00:00+00:00,12,16,2,4,8,12,False,False,False,False,False,False,2016-08-10 11:59:00,2016-08-12 15:59:00,-4.261473695084117,-9.772368952533084,11,False,False,15,False,False,-4.261473695084117,9.772368952533084
NZDCAD,2016-08-11 00:00:00+00:00,2016-08-11 12:00:00+00:00,-1,0.9496964192000001,0.008306967090226158,3,3.182873158622755,0.0025793860505933697,0.9498464192,0.9416573223,0.0001579202668641276,0.00015929361610402464,0.008621495785494648,0.00031452869526849003,2016-08-11 04:00:00+00:00,2016-08-11 16:00:00+00:00,4,16,3,3,0,12,False,False,False,False,False,False,2016-08-11 03:59:00,2016-08-11 15:59:00,-5.792743698546099,-7.349527986634241,3,False,False,15,False,False,-5.792743698546099,7.349527986634241
USDCAD,2016-08-16 12:00:00+00:00,2016-08-21 20:00:00+00:00,1,1.2862,0.0021069818068728636,21,2.319716645419604,0.0015023175265294353,1.28614,1.28897,4.665121992940115e-05,4.654879477412198e-05,0.0022003825400034316,9.340073313056797e-05,2016-08-16 16:00:00+00:00,2016-08-22 00:00:00+00:00,16,0,1,6,12,20,False,True,False,False,False,False,2016-08-16 15:59:00,2016-08-21 23:59:00,-1.8657006483313587,-1.318708596428353,15,False,False,23,False,False,1.8657006483313587,-1.318708596428353
NZDUSD,2016-08-23 08:00:00+00:00,2016-08-26 16:00:00+00:00,-1,0.73361,0.014639931298646526,20,2.1742883411742353,0.0022914277827985746,0.73368,0.7228,9.540944280885399e-05,9.684560044272274e-05,0.014829353396576206,0.00018942209792967984,2016-08-23 12:00:00+00:00,2016-08-26 20:00:00+00:00,12,20,1,4,8,16,False,False,False,False,False,True,2016-08-23 11:59:00,2016-08-26 19:59:00,6.819607736161526,-9.260923051404024,11,False,False,19,False,False,6.819607736161526,9.260923051404024
AUDNZD,2016-09-01 16:00:00+00:00,2016-09-05 20:00:00+00:00,1,1.0373746937990882,0.0013354217724125192,14,2.109121218514235,0.0012126872837722965,1.0372246937990883,1.0389100265513371,0.000144616688068415,0.0001443820890803462,0.001624848272822943,0.0002894265004104238,2016-09-01 20:00:00+00:00,2016-09-06 00:00:00+00:00,20,0,3,0,16,20,False,False,False,False,False,False,2016-09-01 19:59:00,2016-09-05 23:59:00,-1.1764670115010922,1.9764408253619692,19,False,False,23,False,False,1.1764670115010922,1.9764408253619692
GBPUSD,2016-09-06 16:00:00+00:00,2016-09-08 12:00:00+00:00,-1,1.3424650000000002,0.009363372601893113,11,2.34379303144065,0.0014462490758174523,1.34251,1.32985,3.3519303394388126e-05,3.383840282738655e-05,0.009430097354954592,6.67247530614784e-05,2016-09-06 20:00:00+00:00,2016-09-08 16:00:00+00:00,20,16,1,3,16,12,False,False,False,False,False,False,2016-09-06 19:59:00,2016-09-08 15:59:00,0.5959342386563371,-0.6015354191579725,19,False,False,15,False,False,0.5959342386563371,0.6015354191579725
NZDUSD,2016-09-06 16:00:00+00:00,2016-09-09 08:00:00+00:00,-1,0.7412,0.007245008094981073,16,3.224619768716582,0.0026003198925104156,0.74127,0.73576,9.443252795877345e-05,9.513971947374143e-05,0.007433188986469164,0.0001881808914880904,2016-09-06 20:00:00+00:00,2016-09-09 12:00:00+00:00,20,12,1,4,16,8,False,False,False,False,False,False,2016-09-06 19:59:00,2016-09-09 11:59:00,4.4538019272799545,-3.9399497316761067,19,False,False,11,False,False,4.4538019272799545,3.9399497316761067
NZDCAD,2016-09-08 08:00:00+00:00,2016-09-09 08:00:00+00:00,-1,0.9601278346000001,0.007113828756819245,6,2.000354308221936,0.0017754911633280402,0.9602778345999999,0.9531476496,0.00015620479260825795,0.00015737330943736718,0.007425127127890008,0.00031129837107076244,2016-09-08 12:00:00+00:00,2016-09-09 12:00:00+00:00,12,12,3,4,8,8,False,False,False,False,False,False,2016-09-08 11:59:00,2016-09-09 11:59:00,7.443431654174937,-3.9119383067043323,11,False,False,11,False,False,7.443431654174937,3.9119383067043323
AUDCHF,2016-09-13 16:00:00+00:00,2016-09-16 12:00:00+00:00,1,0.7291328586000001,0.005635592679076035,17,2.566008059257429,0.00207548647946786,0.7289828586,0.7333919544,0.00020576615517142974,0.00020452910493505135,0.006048284603656695,0.00041269192458066005,2016-09-13 20:00:00+00:00,2016-09-16 16:00:00+00:00,20,16,1,4,16,12,False,False,False,False,False,False,2016-09-13 19:59:00,2016-09-16 15:59:00,-5.1033250358745175,-5.779028848598156,19,False,False,15,False,False,5.1033250358745175,-5.779028848598156
EURGBP,2016-09-26 08:00:00+00:00,2016-09-27 12:00:00+00:00,-1,0.8706012448581945,0.009782896008670194,7,2.1876562927802974,0.002052310048080732,0.8707512448581944,0.861934243414728,0.0001722650422675286,0.0001740271965593854,0.01012574084221074,0.00034284483354054575,2016-09-26 12:00:00+00:00,2016-09-27 16:00:00+00:00,12,16,0,1,8,12,False,False,False,False,False,False,2016-09-26 11:59:00,2016-09-27 15:59:00,9.252211461527882,0.9639513841963598,11,False,False,15,False,False,9.252211461527882,-0.9639513841963598
EURCHF,2016-09-29 20:00:00+00:00,2016-09-30 08:00:00+00:00,1,1.0839901646,0.003358230562306744,3,2.365867430462994,0.0008816988472378994,1.0838401646000002,1.0877804535,0.0001383967903195013,0.00013789547285701436,0.003635488911276852,0.00027725834897010786,2016-09-30 00:00:00+00:00,2016-09-30 12:00:00+00:00,0,12,3,4,20,8,False,False,False,False,False,False,2016-09-29 23:59:00,2016-09-30 11:59:00,0.7305060834528199,0.2636989504556375,23,False,False,11,False,False,-0.7305060834528199,0.2636989504556375
GBPCHF,2016-10-05 20:00:00+00:00,2016-10-18 04:00:00+00:00,1,1.2423065568,-0.025803191510612306,52,2.044203515730112,0.001902175040190408,1.2421565568,1.2104010828,0.0001207577250861395,0.00012392586402269865,-0.02556479199514694,0.00023839951546536509,2016-10-06 00:00:00+00:00,2016-10-18 08:00:00+00:00,0,8,2,1,20,4,False,False,False,False,False,False,2016-10-05 23:59:00,2016-10-18 07:59:00,1.0639710382709389,-1.2406488164440344,23,False,False,7,False,False,-1.0639710382709389,-1.2406488164440344
EURJPY,2016-10-06 08:00:00+00:00,2016-10-11 08:00:00+00:00,-1,115.90844214000002,0.007940312051544617,19,2.0545662757757386,0.0015537828295669872,115.92344214,114.97309294,0.00012939574363125445,0.00013046530815543004,0.008198076096224582,0.0002577640446799652,2016-10-06 12:00:00+00:00,2016-10-11 12:00:00+00:00,12,12,3,1,8,8,False,False,False,False,False,False,2016-10-06 11:59:00,2016-10-11 11:59:00,-3.0347210282521964,-3.346981896980017,11,False,False,11,False,False,-3.0347210282521964,3.346981896980017
GBPUSD,2016-10-06 12:00:00+00:00,2016-10-18 04:00:00+00:00,1,1.2645049999999998,-0.031451042107385606,48,2.0320821699720213,0.002157015586130586,1.26446,1.22478,3.5588314379260714e-05,3.674129231372165e-05,-0.03138098476820139,7.005733918421381e-05,2016-10-06 16:00:00+00:00,2016-10-18 08:00:00+00:00,16,8,3,1,12,4,False,False,False,False,False,False,2016-10-06 15:59:00,2016-10-18 07:59:00,-4.663847278764122,-1.1429317833000496,15,False,False,7,False,False,4.663847278764122,-1.1429317833000496
USDJPY,2016-10-06 16:00:00+00:00,2016-10-13 12:00:00+00:00,-1,104.0575,0.004151550825264878,30,2.1367245302453037,0.001549212644598695,104.061,103.622,3.3634118449755426e-05,3.377661114435158e-05,0.004218679428412253,6.712860314737543e-05,2016-10-06 20:00:00+00:00,2016-10-13 16:00:00+00:00,20,16,3,3,16,12,False,False,False,False,False,False,2016-10-06 19:59:00,2016-10-13 15:59:00,0.3844047012702134,1.640847449446703,19,False,False,15,False,False,0.3844047012702134,-1.640847449446703
NZDUSD,2016-10-07 04:00:00+00:00,2016-10-14 00:00:00+00:00,1,0.71299,-0.003478309653711845,30,2.174826569658716,0.0019635419929479457,0.71292,0.71058,9.81877349492229e-05,9.85110754594838e-05,-0.003282275711159799,0.00019603394255204593,2016-10-07 08:00:00+00:00,2016-10-14 04:00:00+00:00,8,4,4,4,4,0,False,False,False,False,False,False,2016-10-07 07:59:00,2016-10-14 03:59:00,-0.8415383320703462,-1.5477915828288058,7,False,False,3,False,False,0.8415383320703462,-1.5477915828288058
USDCAD,2016-10-07 12:00:00+00:00,2016-10-10 12:00:00+00:00,-1,1.3306,0.01176161130317168,7,2.0022473467100594,0.0012641847292155692,1.33066,1.31489,4.509040626456045e-05,4.563119348386558e-05,0.011851261779868727,8.965047669704657e-05,2016-10-07 16:00:00+00:00,2016-10-10 16:00:00+00:00,16,16,4,0,12,12,False,False,False,False,False,False,2016-10-07 15:59:00,2016-10-10 15:59:00,-0.37573926700895655,-6.232376435536535,15,False,False,15,False,False,-0.37573926700895655,6.232376435536535
AUDNZD,2016-10-12 12:00:00+00:00,2016-10-17 04:00:00+00:00,-1,1.0715948692838286,0.003817606053596714,17,2.1430660547823406,0.0012594232063192962,1.0717448692838287,1.0673539422238474,0.00013995868261094116,0.00014053445072538247,0.004096989111704863,0.00027938305810814874,2016-10-12 16:00:00+00:00,2016-10-17 08:00:00+00:00,16,8,2,0,12,4,False,False,False,False,False,False,2016-10-12 15:59:00,2016-10-17 07:59:00,-2.2698191053072136,-2.235894355187007,15,False,False,7,False,False,-2.2698191053072136,2.235894355187007
USDCHF,2016-10-12 16:00:00+00:00,2016-10-18 00:00:00+00:00,-1,0.9900799999999998,0.0030906593406591558,21,2.082357064402869,0.0013423004786630923,0.99013,0.98697,5.04984193994728e-05,5.066010111756183e-05,0.0031915001060466297,0.00010084076538747393,2016-10-12 20:00:00+00:00,2016-10-18 04:00:00+00:00,20,4,2,1,16,0,False,False,False,False,False,False,2016-10-12 19:59:00,2016-10-18 03:59:00,0.5050096961856099,-1.7221468079497981,19,False,False,3,False,False,0.5050096961856099,1.7221468079497981
AUDCHF,2016-10-18 04:00:00+00:00,2016-10-21 12:00:00+00:00,-1,0.7589127408,0.003684893993283184,20,2.2297193676516947,0.002414814101418127,0.7590627408,0.7559662278,0.00019761212339563697,0.00019842156234482517,0.004079390060347965,0.00039449606706478107,2016-10-18 08:00:00+00:00,2016-10-21 16:00:00+00:00,8,16,1,4,4,12,False,False,False,False,False,False,2016-10-18 07:59:00,2016-10-21 15:59:00,-3.5143948066962416,-1.017451184465168,7,False,False,15,False,False,-3.5143948066962416,1.017451184465168
