instr,entry,dir,exit_kind,bar_at,bars_base,ret_base,ret_limit
AUDCAD,2016-08-08 04:00:00+00:00,-1,limit,20,20,0.0013645305473387016,0.0009430441966955373
AUDCAD,2016-10-26 00:00:00+00:00,-1,limit,9,10,0.009868830959933784,0.008743460726813972
AUDCAD,2016-11-01 08:00:00+00:00,-1,limit,4,5,0.006189638029107843,0.00627760147232217
AUDCAD,2017-02-07 00:00:00+00:00,-1,limit,21,28,0.004626941236996878,0.00270189836957808
AUDCAD,2017-05-02 12:00:00+00:00,-1,limit,6,6,0.011951679650751725,0.008206613226327956
AUDCAD,2017-06-01 12:00:00+00:00,1,limit,6,6,0.00825962669869099,0.004987894274784152
AUDCAD,2017-11-15 00:00:00+00:00,1,close,24,24,0.0016103942215314258,0.0016103942215314258
AUDCAD,2018-01-26 16:00:00+00:00,-1,limit,7,10,0.004229137665072723,0.0030691852070288523
AUDCAD,2018-08-14 04:00:00+00:00,1,limit,13,13,0.003835436468480683,0.0036229470184741394
AUDCAD,2018-08-29 04:00:00+00:00,1,limit,21,26,0.0005150667635309835,-0.00021449756543826114
AUDCAD,2018-10-03 08:00:00+00:00,1,limit,23,23,0.0007997747369770841,0.00025446800282817795
AUDCAD,2018-11-15 00:00:00+00:00,-1,limit,6,8,0.007058369294046138,0.006405955037737934
AUDCAD,2018-11-28 16:00:00+00:00,-1,limit,27,27,0.0012869176952866243,0.0013192192051461554
AUDCAD,2019-02-22 20:00:00+00:00,1,limit,4,5,0.009708388515134664,0.005432526595791223
AUDCAD,2019-02-28 16:00:00+00:00,1,limit,5,5,0.0078004337955057575,0.007173543984764257
AUDCAD,2019-03-25 12:00:00+00:00,-1,limit,10,10,0.0044101531524731825,0.0036429372579281074
AUDCAD,2019-04-10 16:00:00+00:00,-1,limit,30,36,-0.0015260612968455245,-0.0010049561685367822
AUDCAD,2019-05-05 20:00:00+00:00,1,limit,8,8,0.004078662049609741,0.0036401643005127366
AUDCAD,2019-05-10 16:00:00+00:00,1,limit,55,55,-0.01086189280461097,-0.01379004788573405
AUDCAD,2019-07-30 12:00:00+00:00,1,limit,37,37,-0.005469107504819547,-0.006695005789020994
AUDCAD,2019-10-01 04:00:00+00:00,1,limit,9,10,0.005665199901859513,0.004607557164289354
AUDCAD,2020-01-28 16:00:00+00:00,1,limit,25,26,-3.651565496932697e-06,7.652504986430138e-05
AUDCAD,2020-02-19 12:00:00+00:00,1,close,36,36,-0.007437996553785911,-0.007437996553785911
AUDCAD,2020-06-15 20:00:00+00:00,-1,limit,4,4,0.00840165116434921,0.0050328867885041624
AUDCAD,2020-07-30 16:00:00+00:00,-1,limit,5,5,0.007368281747313116,0.006564770467568547
AUDCAD,2020-10-14 20:00:00+00:00,1,limit,29,29,-0.00479660433132646,-0.005550067251728416
AUDCAD,2020-12-18 16:00:00+00:00,-1,limit,32,32,-0.00025985438236893297,-0.0001802183554331518
AUDCAD,2021-02-19 04:00:00+00:00,-1,limit,28,29,-0.0027145887637926927,-0.004380945725485323
AUDCAD,2021-03-23 16:00:00+00:00,1,limit,18,19,0.000894023673013532,0.0005864626971646689
AUDCAD,2021-04-30 08:00:00+00:00,1,limit,32,32,0.0013003327620764859,-0.002993572060832522
AUDCAD,2021-05-21 20:00:00+00:00,1,limit,11,14,0.006637866718939137,0.0040338685513299265
AUDCAD,2021-05-28 20:00:00+00:00,1,limit,4,5,0.003799213888307536,0.0035683323160010305
AUDCAD,2021-07-01 12:00:00+00:00,1,limit,12,12,0.003611494354247524,0.0027693358262833876
AUDCAD,2021-07-30 08:00:00+00:00,1,limit,9,11,0.005301393255263903,0.004577097483804447
AUDCAD,2021-08-19 00:00:00+00:00,1,limit,6,6,0.003831371827460821,0.003435520788918831
AUDCAD,2021-12-03 04:00:00+00:00,1,limit,21,21,0.001045178563382026,-0.0020775349609566318
AUDCAD,2022-01-18 16:00:00+00:00,1,limit,5,8,0.005885573878396708,0.005909108552505198
AUDCAD,2022-03-02 00:00:00+00:00,-1,limit,3,3,0.004297390255313862,0.004023786274620284
AUDCAD,2022-03-23 08:00:00+00:00,-1,close,15,15,0.0044722560455357245,0.0044722560455357245
AUDCAD,2022-05-12 04:00:00+00:00,1,limit,19,20,0.005082888766081939,0.00248896073321572
AUDCAD,2022-07-01 00:00:00+00:00,1,limit,13,16,0.0029211613037754243,0.0037031748559180756
AUDCAD,2022-07-11 12:00:00+00:00,1,limit,9,9,0.005115369823461947,0.004951032213695852
AUDCAD,2022-09-07 08:00:00+00:00,1,limit,11,11,0.009283639614280156,0.0065438588860827936
AUDCAD,2022-09-27 16:00:00+00:00,1,limit,5,5,0.0063624581951496955,0.005295670366961548
AUDCAD,2022-11-24 00:00:00+00:00,-1,limit,13,17,0.005672261740579075,0.0043081524589271706
AUDCAD,2022-11-29 12:00:00+00:00,-1,limit,25,26,0.0002707413472814276,0.00025555579391533785
AUDCAD,2022-12-09 00:00:00+00:00,-1,limit,11,11,0.003407407039457774,0.003428875314229898
AUDCAD,2023-01-16 00:00:00+00:00,-1,limit,18,18,0.003929294365317893,0.0035104591033546595
AUDCAD,2023-01-23 12:00:00+00:00,-1,limit,28,28,-0.003957233422135848,-0.003904363710315459
AUDCAD,2023-03-07 08:00:00+00:00,1,limit,11,17,0.004090536203691417,0.0038841519036112927
AUDCAD,2023-04-02 20:00:00+00:00,1,limit,3,3,0.01101657923896836,0.009867264476377058
AUDCAD,2023-04-10 12:00:00+00:00,1,limit,12,14,0.0034091796438634812,0.00365735635729229
AUDCAD,2023-05-18 12:00:00+00:00,1,limit,6,6,0.006401555563816498,0.00532082339000314
AUDCAD,2023-05-24 04:00:00+00:00,1,limit,26,26,-0.0005806093980006531,-0.0006683006909615958
AUDCAD,2023-08-02 12:00:00+00:00,1,limit,12,12,0.009478099740732583,0.00783507021308349
AUDCAD,2023-08-14 00:00:00+00:00,1,limit,6,37,-0.0017258361211791558,0.004631294293763844
AUDCAD,2023-09-27 08:00:00+00:00,1,limit,7,7,0.004289345998966309,0.002341085472883334
AUDCAD,2023-11-01 20:00:00+00:00,-1,limit,21,21,0.006480953733717502,0.0035847152591445297
AUDCAD,2023-11-20 00:00:00+00:00,-1,limit,17,27,0.0011130320465831142,0.00225840772705181
AUDCAD,2024-01-31 20:00:00+00:00,1,limit,9,9,0.001985580546953186,0.0019656940137653123
AUDCAD,2024-02-08 12:00:00+00:00,1,limit,6,6,0.004674567571156981,0.0045353640800338
AUDCAD,2024-04-05 12:00:00+00:00,-1,limit,19,19,0.0031774819748525995,0.0007517678123232137
AUDCAD,2024-05-15 12:00:00+00:00,-1,limit,21,22,0.0003180003146868338,0.00014699710752943902
AUDCAD,2024-07-05 12:00:00+00:00,-1,limit,43,44,-0.0017172172083552526,-0.0033600014841266993
AUDCAD,2024-09-18 08:00:00+00:00,-1,limit,32,32,0.0011969292839542375,-0.0018181646763841103
AUDCAD,2024-11-13 12:00:00+00:00,1,limit,16,19,0.002956443157709812,0.0030315666097506418
AUDCAD,2024-12-18 16:00:00+00:00,1,limit,42,43,-0.0014990489642445497,-0.003697462684685829
AUDCAD,2024-12-30 20:00:00+00:00,1,limit,10,10,0.0039852705510817306,0.002116714555389763
AUDCAD,2025-01-10 12:00:00+00:00,1,limit,12,19,0.005314830888335593,0.0033029594024346267
AUDCAD,2025-02-20 04:00:00+00:00,-1,limit,15,20,0.001447840051310035,0.00175785615506928
AUDCAD,2025-03-17 16:00:00+00:00,-1,limit,5,9,0.005331733996575764,0.00323815564088293
AUDCAD,2025-07-10 12:00:00+00:00,-1,limit,15,19,0.00521519415957145,0.002724969129373167
AUDCAD,2025-07-24 00:00:00+00:00,-1,limit,14,14,0.0036862436158937163,0.0032999112546387766
AUDCAD,2025-10-01 16:00:00+00:00,-1,limit,14,22,0.002207043985570715,0.0026659360516446875
AUDCAD,2025-12-03 20:00:00+00:00,-1,limit,11,11,0.002759581039354008,0.002014244207745013
AUDCAD,2026-02-11 12:00:00+00:00,-1,limit,10,11,0.00677944608795721,0.005096016423632007
AUDCAD,2026-06-02 04:00:00+00:00,-1,limit,8,9,0.0027801649442036973,0.0028507580708775496
AUDCHF,2016-09-13 12:00:00+00:00,1,limit,18,18,0.007915284738409115,0.006672040187474725
AUDCHF,2016-10-18 00:00:00+00:00,-1,limit,15,21,0.0008467066948616941,0.0021076447684690884
AUDCHF,2016-12-09 08:00:00+00:00,-1,limit,17,21,0.006983770290546117,0.005771164559959813
AUDCHF,2016-12-30 20:00:00+00:00,1,limit,7,7,0.004913744341519278,0.004719553852086098
AUDCHF,2017-02-22 04:00:00+00:00,-1,limit,13,13,0.008730380828285747,0.004971842492898226
AUDCHF,2017-03-27 04:00:00+00:00,1,limit,9,10,0.00971064329908135,0.007300844591986979
AUDCHF,2017-04-19 00:00:00+00:00,1,limit,15,19,0.0032185092537690566,0.0033760435580974194
AUDCHF,2017-04-28 08:00:00+00:00,1,limit,6,6,0.008985897924603093,0.0072246138999585725
AUDCHF,2017-05-17 00:00:00+00:00,1,limit,26,27,0.0006560406102809398,0.000723433766612567
AUDCHF,2017-07-27 00:00:00+00:00,-1,limit,31,32,-0.002218930672058126,-0.0052740747945277935
AUDCHF,2017-09-20 12:00:00+00:00,-1,limit,6,6,0.008115696114931823,0.0052199866461856825
AUDCHF,2017-11-14 12:00:00+00:00,1,limit,30,30,-0.0036987984734678835,-0.005134403831973378
AUDCHF,2018-01-11 04:00:00+00:00,-1,limit,2,7,0.00948520818330145,0.005681952484273546
AUDCHF,2018-02-01 08:00:00+00:00,1,limit,45,46,-0.012958847826498343,-0.014046614338436484
AUDCHF,2018-04-13 00:00:00+00:00,-1,limit,31,32,-0.0007865525268700581,-0.0018242202827056387
AUDCHF,2018-06-04 12:00:00+00:00,-1,limit,5,6,0.007459297851849767,0.006578346005026058
AUDCHF,2018-06-14 04:00:00+00:00,1,limit,2,57,-0.012235398831973911,0.006449183840959288
AUDCHF,2018-07-02 12:00:00+00:00,1,limit,4,4,0.0053538128650712485,0.004240126668845753
AUDCHF,2018-08-23 04:00:00+00:00,1,limit,8,11,0.005414524323909302,0.004158449505682797
AUDCHF,2018-08-29 12:00:00+00:00,1,limit,54,62,-0.02127742871587825,-0.021382819260425595
AUDCHF,2018-09-17 20:00:00+00:00,1,limit,1,1,0.005754470363528877,0.0052995627985652875
AUDCHF,2018-10-30 12:00:00+00:00,-1,limit,52,54,-0.01691678956215578,-0.016851983391012675
AUDCHF,2018-11-15 04:00:00+00:00,-1,limit,14,14,0.007605435087286282,0.0026704516786443078
AUDCHF,2018-12-24 12:00:00+00:00,1,limit,11,11,0.00842087027027509,0.0070634291935699626
AUDCHF,2019-03-21 20:00:00+00:00,1,limit,14,15,0.004354094616796204,0.002179302894108732
AUDCHF,2019-05-15 04:00:00+00:00,1,limit,18,18,0.0038250879272724463,0.003634344827079896
AUDCHF,2019-05-24 00:00:00+00:00,1,limit,6,6,0.004104349440497987,0.004158228988171936
AUDCHF,2019-08-25 20:00:00+00:00,1,limit,3,3,0.015549709590920176,0.012515735528038476
AUDCHF,2019-10-31 00:00:00+00:00,-1,limit,2,3,0.005075384770051948,0.004304303382811964
AUDCHF,2020-02-26 08:00:00+00:00,1,limit,31,34,-0.010211500879166066,-0.01105710232748503
AUDCHF,2020-03-18 16:00:00+00:00,1,limit,5,9,0.035870043058960834,0.03453686067740098
AUDCHF,2020-04-29 00:00:00+00:00,-1,limit,11,11,0.012134295349794,0.010546943139710458
AUDCHF,2020-10-16 08:00:00+00:00,1,limit,27,27,-0.0034342156363694745,-0.004155060834120118
AUDCHF,2020-11-24 08:00:00+00:00,-1,limit,7,14,0.0037171508837980324,0.00413086243625804
AUDCHF,2020-12-31 08:00:00+00:00,-1,limit,8,8,0.007960729452531122,0.006044195971737148
AUDCHF,2021-02-08 12:00:00+00:00,-1,limit,11,12,0.006148222918814413,0.0063072340876105595
