label,emp_k,emp_cagr,emp_dd,emp_p95,rob_k0,rob_cagr0,rob_worst_year,rob_pos_year,hold,legs,w,rob_cagr_seeds,rob_cagr_mean3
baseline mp11 (ens),11.50904172897339,0.2382523926364328,-0.1999999732492333,-0.2958302349978869,7.567493896484375,0.1521347664061423,0.041842417170312,1.0,,,,,
h42 legs2 w0.25,12.22434018135071,0.2157841624182026,-0.199999921313978,-0.2461065423145884,9.74657958984375,0.1693696158358786,0.0766668805369981,1.0,42.0,2.0,0.25,"{0: 0.16936961583587862, 1: 0.1651431189275112, 2: 0.16971860588111953}",0.1680771135481698
h42 legs2 w0.5,9.30921445846558,0.1853077106631522,-0.1999999570499829,-0.2326568235986509,7.887768249511717,0.1556141032972675,0.0284637270148997,1.0,42.0,2.0,0.5,,
h42 legs2 w0.75,7.494564757347107,0.1658791117540641,-0.1999999688470913,-0.2519949619107792,5.821541137695313,0.1276287281167707,-0.0022256317070843,0.9090909090909092,42.0,2.0,0.75,,
h42 legs2 w1.0,6.265836014747621,0.1525831654481297,-0.1999997296921515,-0.2677077030572229,4.552034606933594,0.1099612054714054,-0.0195276554365081,0.9090909090909092,42.0,2.0,1.0,,
h42 legs5 w0.25,11.281380043029785,0.1325801766771048,-0.199999868099191,-0.2316927323167232,9.619079895019532,0.112429877865293,0.0260850635507567,1.0,42.0,5.0,0.25,,
h42 legs5 w0.5,7.216355009078979,0.0921255832495915,-0.1999999021288415,-0.257823356527092,5.482355346679688,0.0699211019470906,-0.0155396916648514,0.9090909090909092,42.0,5.0,0.5,,
h42 legs5 w0.75,5.277770571708681,0.0730212976766184,-0.1999998152645018,-0.2880266686521038,3.514955749511719,0.0489434039686624,-0.0288840819650803,0.6363636363636364,42.0,5.0,0.75,,
h42 legs5 w1.0,4.152578139305114,0.0619907503560852,-0.199999730793343,-0.310372075904361,2.535221252441406,0.0383962844242717,-0.0344274129175106,0.6363636363636364,42.0,5.0,1.0,,
h63 legs2 w0.5,9.591351380348208,0.1971876368684182,-0.1999998696190533,-0.238795230303299,7.9164404296874995,0.1610351931229501,0.0356739726094412,1.0,63.0,2.0,0.5,"{0: 0.16103519312295012, 1: 0.15624452632978847, 2: 0.165891172273535}",0.1610569639087578
h63 legs2 w1.0,6.499092969894409,0.1661788695880479,-0.1999997536080097,-0.268600766185518,4.684414672851563,0.1187288814939171,-0.0121336688120244,0.9090909090909092,63.0,2.0,1.0,,
h63 legs5 w0.5,7.185147323608399,0.0978394974146801,-0.19999999998617,-0.2480394481449238,5.6848907470703125,0.0772726048022163,-0.0100243521560683,0.9090909090909092,63.0,5.0,0.5,,
h63 legs5 w1.0,4.107815985679626,0.0681275348721677,-0.1999999689464586,-0.3005776163484927,2.6346588134765625,0.0441425305614093,-0.0305155458263572,0.6363636363636364,63.0,5.0,1.0,,
h42 legs2 w0.125,14.4,0.2376,,-0.272,10.29,0.1656,0.06,,42.0,2.0,0.125,"{'0': 0.1656, '1': 0.1625, '2': 0.1661}",0.1647
h42 legs2 w0.375,10.58,0.1987,,-0.241,8.64,0.1604,0.049,,42.0,2.0,0.375,"{'0': 0.1604, '1': 0.1594, '2': 0.1666}",0.1621
