config,start,end,trough,dow,hour_utc,dd_m1,dd_h4_aligned,gap_pp,max_m1gap_min_2d,weekend_gap,top_unreal
mp8,2019-01-02 22:34,2019-01-02 23:59,2019-01-02 22:39,Wed,22,-0.09815731494060365,-0.00741531672281992,-9.074199821778372,1442,True,GBPJPYL:-8.6%; USDJPYL:-2.1%
mp8,2020-03-18 16:53,2020-03-19 23:28,2020-03-19 01:58,Thu,1,-0.12402302679318367,-0.055664017759325723,-6.835900903385794,1,False,EURAUDS:-3.4%; GBPCHFL:-3.4%; AUDCHFL:-2.6%
mp8,2016-10-06 23:07,2016-10-06 23:21,2016-10-06 23:09,Thu,23,-0.04898246299202891,-0.003300198446609892,-4.568226454541902,6,False,GBPCHFL:-2.6%; GBPUSDL:-2.5%; USDJPYS:+0.1%
mp8,2022-09-26 00:57,2022-09-26 03:59,2022-09-26 00:59,Mon,0,-0.07733039773059724,-0.040011609928941594,-3.731878780165565,2881,True,GBPUSDL:-3.2%; EURUSDL:-1.7%; NZDCADL:-1.1%
mp8,2024-12-18 21:46,2024-12-18 23:59,2024-12-18 23:51,Wed,23,-0.04268413520840675,-0.01132096066403765,-3.13631745443691,4,False,NZDUSDL:-1.7%; AUDUSDL:-0.8%; USDCADS:-0.5%
mp8,2024-04-29 01:35,2024-04-29 03:59,2024-04-29 01:35,Mon,1,-0.07788926454526912,-0.04792224944721546,-2.996701509805366,2885,True,USDJPYS:-3.3%; GBPJPYS:-3.2%; EURJPYS:-1.6%
mp8,2021-02-24 01:22,2021-02-24 03:04,2021-02-24 01:23,Wed,1,-0.1034933794217483,-0.07410100214014059,-2.9392377281607707,5,False,GBPCHFS:-2.5%; AUDCHFS:-1.8%; AUDCADS:-1.7%
mp8,2022-11-28 08:52,2022-11-28 11:59,2022-11-28 09:19,Mon,9,-0.03317927054282521,-0.0038450263568124976,-2.9334244186012715,2881,True,NZDCADS:-1.5%; GBPUSDS:-0.8%; EURCADS:-0.8%
mp8,2023-01-18 14:15,2023-01-18 14:43,2023-01-18 14:30,Wed,14,-0.03220231429688636,-0.003614855362282454,-2.8587458934603904,4,False,USDCHFL:-0.9%; GBPUSDS:-0.9%; NZDUSDS:-0.9%
mp8,2022-10-13 12:30,2022-10-14 15:49,2022-10-13 12:45,Thu,12,-0.043728139016664946,-0.015615266758343127,-2.811287225832182,2,False,GBPAUDS:-1.8%; USDCHFS:-0.4%; AUDCHFL:-0.1%
mp8,2017-04-18 13:26,2017-04-18 19:51,2017-04-18 14:19,Tue,14,-0.033543758450248484,-0.005661643744538591,-2.7882114705709893,2884,True,GBPUSDS:-1.0%; GBPAUDS:-0.9%; GBPCHFS:-0.8%
mp8,2018-12-20 17:33,2018-12-20 19:59,2018-12-20 19:10,Thu,19,-0.027522458505472303,0.0,-2.7522458505472303,1,False,USDJPYL:-0.9%; EURCADS:-0.7%; USDCADS:-0.3%
mp8,2022-12-14 20:10,2022-12-14 23:35,2022-12-14 20:12,Wed,20,-0.03281799704605648,-0.0054387125355082055,-2.7379284510548274,4,False,NZDCADS:-3.2%; EURCADS:-2.9%; GBPUSDS:-0.8%
mp8,2022-09-27 15:25,2022-09-28 03:08,2022-09-28 02:31,Wed,2,-0.10152551319846215,-0.07422394260982901,-2.730157058863314,2,False,GBPUSDL:-2.2%; NZDCADL:-2.1%; NZDUSDL:-1.9%
mp8,2017-11-17 06:39,2017-11-17 11:02,2017-11-17 07:51,Fri,7,-0.06088839782743416,-0.03423702340080903,-2.665137442662513,1,False,EURAUDS:-2.8%; AUDCHFL:-1.6%; AUDUSDL:-0.8%
mp8,2016-12-02 15:07,2016-12-05 01:24,2016-12-02 19:37,Fri,19,-0.04653632462492818,-0.020951838955932334,-2.558448566899585,2,False,GBPUSDS:-1.3%; GBPJPYS:-0.7%; EURGBPL:-0.6%
mp8,2018-01-25 02:49,2018-01-25 14:06,2018-01-25 03:31,Thu,3,-0.026076494276048967,-0.0005208209267015818,-2.5555673349347385,1,False,EURUSDS:-0.8%; NZDUSDS:-0.8%; USDCADL:-0.3%
mp8,2017-07-28 00:59,2017-07-28 03:14,2017-07-28 02:40,Fri,2,-0.05313438501736445,-0.028378909305840083,-2.4755475711524366,1,False,EURCHFS:-2.1%; AUDCHFS:-1.7%; GBPCHFS:-0.6%
mp8,2019-08-26 05:00,2019-08-26 05:59,2019-08-26 05:09,Mon,5,-0.02441659179084299,0.0,-2.441659179084299,2881,True,GBPAUDS:-0.4%; NZDUSDL:-0.2%; NZDCADL:-0.1%
mp8,2024-05-17 14:30,2024-05-17 15:59,2024-05-17 14:56,Fri,14,-0.034851584738697095,-0.011088603839385813,-2.376298089931128,3,False,AUDCHFS:-1.1%; AUDUSDS:-0.6%; AUDCADS:-0.4%
mp8,2016-12-01 13:56,2016-12-01 14:26,2016-12-01 14:05,Thu,14,-0.036349858482858655,-0.012675451953022554,-2.36744065298361,2,False,GBPUSDS:-0.9%; GBPJPYS:-0.9%; EURGBPL:-0.8%
mp8,2024-12-24 22:58,2024-12-24 23:00,2024-12-24 23:00,Tue,23,-0.047970854281960684,-0.024378100107136147,-2.3592754174824537,11,False,NZDUSDL:-1.6%; NZDCADL:-1.4%; AUDUSDL:-0.7%
mp8,2017-11-15 01:15,2017-11-15 03:54,2017-11-15 02:21,Wed,2,-0.039957660624797664,-0.01722699088852031,-2.2730669736277354,1,False,EURAUDS:-2.4%; AUDCHFL:-1.5%; EURCADS:-0.3%
mp8,2021-11-30 06:01,2021-11-30 06:15,2021-11-30 06:06,Tue,6,-0.08371397335701192,-0.061399541842239835,-2.231443151477208,2881,True,AUDCHFL:-2.7%; AUDUSDL:-0.5%; EURJPYL:-0.2%
mp8,2023-03-10 18:46,2023-03-10 19:41,2023-03-10 18:49,Fri,18,-0.03160765029552859,-0.010220428705948081,-2.1387221589580507,4,False,AUDUSDL:-2.0%; GBPAUDS:-0.9%; EURAUDS:-0.9%
mp8,2025-07-02 13:09,2025-07-02 14:27,2025-07-02 14:26,Wed,14,-0.06920880505021898,-0.04783073700208551,-2.137806804813347,2,False,USDCHFL:-2.5%; GBPCHFL:-1.9%; EURCADS:-1.2%
mp8,2024-05-15 19:56,2024-05-15 19:59,2024-05-15 19:59,Wed,19,-0.03039410703550638,-0.009864012763765806,-2.0530094271740573,4,False,AUDUSDS:-0.6%; AUDCADS:-0.4%; AUDCHFS:-0.3%
mp8,2019-01-24 23:49,2019-01-24 23:56,2019-01-24 23:49,Thu,23,-0.048248020502312694,-0.027923382609084002,-2.032463789322869,1,False,GBPAUDS:-1.6%; GBPUSDS:-1.3%; GBPCHFS:-1.2%
mp8,2025-06-30 15:59,2025-06-30 15:59,2025-06-30 15:59,Mon,15,-0.051399859096236344,-0.03139593847551936,-2.0003920620716986,2881,True,USDCHFL:-2.2%; EURCADS:-1.0%; EURJPYS:-0.8%
mp11,2019-01-02 22:34,2019-01-02 23:59,2019-01-02 22:39,Wed,22,-0.09991169207059869,-0.007547880523730122,-9.236381154686857,1442,True,GBPJPYL:-8.7%; USDJPYL:-2.1%
mp11,2020-03-18 16:53,2020-03-19 23:28,2020-03-19 01:58,Thu,1,-0.12620932999231949,-0.05665029690978507,-6.955903308253442,1,False,EURAUDS:-3.4%; GBPCHFL:-3.4%; AUDCHFL:-2.7%
mp11,2016-10-06 23:07,2016-10-06 23:22,2016-10-06 23:09,Thu,23,-0.049857672915985196,-0.003359290444221452,-4.649838247176374,6,False,GBPCHFL:-2.6%; GBPUSDL:-2.6%; USDJPYS:+0.1%
mp11,2022-09-26 00:57,2022-09-26 03:59,2022-09-26 00:59,Mon,0,-0.07870077501453032,-0.040721308029420755,-3.7979466985109567,2881,True,GBPUSDL:-3.3%; EURUSDL:-1.7%; NZDCADL:-1.1%
mp11,2024-12-18 21:45,2024-12-18 23:59,2024-12-18 23:51,Wed,23,-0.043446037404479276,-0.011523699125773113,-3.1922338278706164,4,False,NZDUSDL:-1.7%; AUDUSDL:-0.9%; USDCADS:-0.6%
mp11,2024-04-29 01:35,2024-04-29 03:59,2024-04-29 01:35,Mon,1,-0.07928028645240659,-0.04878045251179186,-3.049983394061473,2885,True,USDJPYS:-3.4%; GBPJPYS:-3.3%; EURJPYS:-1.7%
mp11,2021-02-24 01:22,2021-02-24 03:38,2021-02-24 01:23,Wed,1,-0.10532402334984714,-0.07541496383298985,-2.9909059516857295,5,False,GBPCHFS:-2.5%; AUDCHFS:-1.8%; AUDCADS:-1.7%
mp11,2022-11-28 08:51,2022-11-28 11:59,2022-11-28 09:19,Mon,9,-0.03376901394057752,-0.003913876104443825,-2.9855137836133694,2881,True,NZDCADS:-1.5%; GBPUSDS:-0.8%; EURCADS:-0.8%
