config,start,end,trough,dow,hour_utc,dd_m1,dd_h4_aligned,gap_pp,max_m1gap_min_2d,weekend_gap,top_unreal
d0_rob_s0,2019-01-02 22:34,2019-01-02 23:59,2019-01-02 22:39,Wed,22,-0.09808638710480844,-0.007409957312904392,-9.067642979190405,1442,True,GBPJPYL:-8.6%; USDJPYL:-2.1%
d0_rob_s0,2020-03-18 16:53,2020-03-19 23:27,2020-03-19 01:58,Thu,1,-0.12393461384639659,-0.05562413693179913,-6.831047691459746,1,False,EURAUDS:-3.4%; GBPCHFL:-3.4%; AUDCHFL:-2.6%
d0_rob_s0,2016-10-06 23:07,2016-10-06 23:21,2016-10-06 23:09,Thu,23,-0.048947078876880434,-0.003297809491371928,-4.564926938550851,6,False,GBPCHFL:-2.6%; GBPUSDL:-2.5%; USDJPYS:+0.1%
d0_rob_s0,2022-09-26 00:57,2022-09-26 03:59,2022-09-26 00:59,Mon,0,-0.07727498625464224,-0.03998291360618511,-3.729207264845713,2881,True,GBPUSDL:-3.2%; EURUSDL:-1.7%; NZDCADL:-1.1%
d0_rob_s0,2024-12-18 21:46,2024-12-18 23:59,2024-12-18 23:51,Wed,23,-0.0426533314759171,-0.011312764430736477,-3.1340567045180623,4,False,NZDUSDL:-1.7%; AUDUSDL:-0.8%; USDCADS:-0.5%
d0_rob_s0,2024-04-29 01:35,2024-04-29 03:59,2024-04-29 01:35,Mon,1,-0.07783302603831432,-0.047887554340638516,-2.9945471697675807,2885,True,USDJPYS:-3.3%; GBPJPYS:-3.2%; EURJPYS:-1.6%
d0_rob_s0,2021-02-24 01:22,2021-02-24 03:04,2021-02-24 01:23,Wed,1,-0.10341935421467441,-0.0740478722249126,-2.9371481989761805,5,False,
d0_rob_s0,2022-11-28 08:52,2022-11-28 11:59,2022-11-28 09:19,Mon,9,-0.03315542536069138,-0.0038422429195964503,-2.931318244109493,2881,True,
d0_rob_s0,2023-01-18 14:15,2023-01-18 14:43,2023-01-18 14:30,Wed,14,-0.03217914304422831,-0.003612285708952667,-2.856685733527564,4,False,
d0_rob_s0,2022-10-13 12:30,2022-10-14 15:49,2022-10-13 12:45,Thu,12,-0.04369704386665196,-0.015604015702844198,-2.8093028163807765,2,False,
d0_rob_s0,2017-04-18 13:26,2017-04-18 19:51,2017-04-18 14:19,Tue,14,-0.03351944708878152,-0.005657537012612401,-2.7861910076169116,2884,True,
d0_rob_s0,2018-12-20 17:33,2018-12-20 19:59,2018-12-20 19:10,Thu,19,-0.027502634028024442,0.0,-2.750263402802444,1,False,
d0_rob_s0,2022-12-14 20:10,2022-12-14 23:35,2022-12-14 20:12,Wed,20,-0.03279376857412608,-0.00543474561745827,-2.735902295666781,4,False,
d0_rob_s0,2022-09-27 15:25,2022-09-28 03:08,2022-09-28 02:31,Wed,2,-0.10145288203552083,-0.07417070199756659,-2.728218003795424,2,False,
d0_rob_s0,2017-11-17 06:39,2017-11-17 11:02,2017-11-17 07:51,Fri,7,-0.0608443233694721,-0.03421223622596925,-2.6632087143502847,1,False,
d0_rob_s0,2016-12-02 15:07,2016-12-05 01:24,2016-12-02 19:37,Fri,19,-0.04650336232352692,-0.02093687232880026,-2.556648999472666,2,False,
d0_rob_s0,2018-01-25 02:49,2018-01-25 14:06,2018-01-25 03:31,Thu,3,-0.02605781097090898,-0.0005203265851166927,-2.5537484385792286,1,False,
d0_rob_s0,2017-07-28 00:59,2017-07-28 03:14,2017-07-28 02:40,Fri,2,-0.05309586436279412,-0.028358098339410387,-2.4737766023383734,1,False,
d0_rob_s0,2019-08-26 05:00,2019-08-26 05:55,2019-08-26 05:09,Mon,5,-0.024399436301333566,0.0,-2.4399436301333566,2881,True,
d0_rob_s0,2024-05-17 14:30,2024-05-17 15:59,2024-05-17 14:56,Fri,14,-0.03482667807258111,-0.011080566457867591,-2.3746111614713517,3,False,
d0_rob_s0,2016-12-01 13:56,2016-12-01 14:22,2016-12-01 14:05,Thu,14,-0.036323732756676885,-0.012666344691186215,-2.365738806549067,2,False,
d0_rob_s0,2024-12-24 22:58,2024-12-24 23:00,2024-12-24 23:00,Tue,23,-0.0479362352986924,-0.024360450668908462,-2.3575784629783936,11,False,
d0_rob_s0,2017-11-15 01:15,2017-11-15 03:54,2017-11-15 02:21,Wed,2,-0.03992873701543509,-0.017214518763531084,-2.2714218251904006,1,False,
d0_rob_s0,2021-11-30 06:01,2021-11-30 06:15,2021-11-30 06:06,Tue,6,-0.08365482584486506,-0.06135579592087881,-2.2299029923986247,2881,True,
d0_rob_s0,2023-03-10 18:46,2023-03-10 19:41,2023-03-10 18:49,Fri,18,-0.03158491816393305,-0.010213030795811928,-2.1371887368121123,4,False,
d0_rob_s0,2025-07-02 13:15,2025-07-02 14:27,2025-07-02 14:26,Wed,14,-0.06915895912419934,-0.04779618776827832,-2.1362771355921018,2,False,
d0_rob_s0,2024-05-15 19:58,2024-05-15 19:59,2024-05-15 19:59,Wed,19,-0.03037236806150634,-0.009856854283084804,-2.0515513778421535,4,False,
d0_rob_s0,2019-01-24 23:49,2019-01-24 23:56,2019-01-24 23:49,Thu,23,-0.048213178889420005,-0.02790320731393503,-2.0309971575484975,1,False,
d1_rob_s0,2019-01-02 22:34,2019-01-02 23:59,2019-01-02 22:39,Wed,22,-0.10274736711729648,-0.005801278431214918,-9.694608868608157,1442,True,GBPJPYL:-8.5%; USDJPYL:-2.2%
d1_rob_s0,2020-03-18 16:53,2020-03-19 23:36,2020-03-19 01:58,Thu,1,-0.10392715946413544,-0.040567417136534556,-6.335974232760089,1,False,GBPCHFL:-3.2%; EURAUDS:-3.2%; AUDCHFL:-2.7%
d1_rob_s0,2016-10-06 23:07,2016-10-06 23:22,2016-10-06 23:09,Thu,23,-0.051415909485152844,-0.0034951853796186816,-4.792072410553416,6,False,GBPCHFL:-2.8%; GBPUSDL:-2.7%; EURJPYS:+0.1%
d1_rob_s0,2022-09-26 00:57,2022-09-26 03:59,2022-09-26 00:59,Mon,0,-0.07178139315164755,-0.03116097799010842,-4.062041516153913,2881,True,GBPUSDL:-2.9%; NZDCADL:-1.7%; EURUSDL:-1.6%
d1_rob_s0,2024-04-29 01:35,2024-04-29 03:59,2024-04-29 01:35,Mon,1,-0.08266135166264177,-0.05076946816855343,-3.1891883494088336,2885,True,GBPJPYS:-3.5%; USDJPYS:-3.5%; EURJPYS:-1.7%
