orig,instr,dir,entry_d0,year,bars_held_d0,ret_d0,mae_h4_d0,mae_m1_d0,mae_m1_8h_d0,mae_h4_d1,mae_m1_d1,mae_m1_8h_d1,d_h4,d_m1,hid_d0,hid_d1
0,EURCAD,-1,2016-08-02 04:00:00+00:00,2016,8,0.0053555226272475,-0.0025310967030529596,-0.0030122829788188366,-0.001765397831773985,-0.007566284543311985,-0.00804988756534386,-0.007259103198166139,-0.0050351878402590255,-0.005037604586525024,-0.0004811862757658769,-0.00048360302203187544
1,AUDCAD,-1,2016-08-08 04:00:00+00:00,2016,20,0.0013649833168488655,-0.0038932351485150285,-0.0061809474452987345,-0.0052143177031471755,-0.0034923292123920646,-0.005779127908597914,-0.004812884191162992,0.0004009059361229639,0.0004018195367008204,-0.002287712296783706,-0.0022867986962058495
2,AUDUSD,-1,2016-08-10 04:00:00+00:00,2016,14,0.004117257413011552,-0.005351135817541763,-0.007273388489862809,-0.007273388489862809,0.0031650608061195573,-0.001964073296995883,-0.001964073296995883,0.00851619662366132,0.005309315192866926,-0.0019222526723210454,-0.00512913410311544
3,NZDCAD,-1,2016-08-10 20:00:00+00:00,2016,4,0.009925136036521568,0.0014740361340285224,-0.00284670612611726,-0.00284670612611726,0.003568793330245068,-0.00047418370218110795,-0.00047418370218110795,0.0020947571962165457,0.002372522423936152,-0.004320742260145782,-0.004042977032426176
4,USDCAD,1,2016-08-16 08:00:00+00:00,2016,22,0.0053586471560949575,-0.004204236997285449,-0.004321238026894547,-0.0016380144145267117,-0.007425123039311532,-0.007541745630894381,-0.0017572650883904695,-0.003220886042026083,-0.0032205076039998337,-0.00011700102960909842,-0.00011662259158284893
5,NZDUSD,-1,2016-08-23 04:00:00+00:00,2016,21,0.01298506239930105,-0.0017750348179905728,-0.0072366804118080275,-0.002676206340970433,0.0017855299944169456,-0.005548068050960753,-0.0009952395246481949,0.0035605648124075184,0.0016886123608472747,-0.005461645593817455,-0.007333598045377698
6,AUDNZD,1,2016-09-01 12:00:00+00:00,2016,15,0.002836800847151062,-0.0008676312686584087,-0.0017507615442780011,-0.0007832680062335173,-0.002363680641921717,-0.0032454885637303033,-0.0022794437007028767,-0.0014960493732633084,-0.0014947270194523021,-0.0008831302756195925,-0.0008818079218085861
8,NZDUSD,-1,2016-09-06 12:00:00+00:00,2016,17,0.006252869837668551,-0.008791832104367625,-0.01073656915971144,-0.0021878291872619027,-0.0077847686109613345,-0.009727564261121202,-0.0030357125772377813,0.0010070634934062905,0.0010090048985902378,-0.0019447370553438148,-0.0019427956501598675
7,GBPUSD,-1,2016-09-06 12:00:00+00:00,2016,12,0.009518312324278057,0.000122889008881355,-0.0013070921853763906,-0.0013070921853763906,0.000711383189093362,-0.0014637200610410073,-0.0014637200610410073,0.0005884941802120069,-0.00015662787566461667,-0.0014299811942577456,-0.0021751032501343692
9,NZDCAD,-1,2016-09-08 04:00:00+00:00,2016,7,0.007643354074320046,0.0003771733830667534,-0.0011534661398253654,-0.0011534661398253654,0.0031985487962042924,-0.0007516792331909716,-0.0007516792331909716,0.002821375413137539,0.00040178690663439376,-0.0015306395228921188,-0.003950228029395264
10,AUDCHF,1,2016-09-13 12:00:00+00:00,2016,18,0.007911950122215603,-0.002121199644247951,-0.00370047953375352,-0.0022586484521115446,-0.004375361069777095,-0.005951073440055077,-0.0010955060228934332,-0.0022541614255291442,-0.0022505939063015568,-0.0015792798895055693,-0.0015757123702779818
11,EURGBP,-1,2016-09-26 04:00:00+00:00,2016,8,0.0074009140761427585,-0.00257822401413188,-0.0035298301345771943,-0.0035298301345771943,0.002488915499261446,-0.0011220320845848342,-0.0011220320845848342,0.005067139513393326,0.00240779804999236,-0.0009516061204453141,-0.00361094758384628
12,EURCHF,1,2016-09-29 16:00:00+00:00,2016,4,0.0034162128092624696,-0.0013618546111683338,-0.002643251629115606,-0.0006446157911689232,-0.0014195687446002525,-0.002700891706976072,-0.002700891706976072,-5.771413343191867e-05,-5.7640077860465766e-05,-0.0012813970179472722,-0.0012813229623758193
13,GBPCHF,1,2016-10-05 16:00:00+00:00,2016,53,-0.025357086317176255,-0.034663754365216626,-0.05726378503260543,-0.0006358086318111189,-0.035105653146639826,-0.05769533827271356,-0.00219710346900881,-0.00044189878142320005,-0.000431553240108129,-0.022600030667388804,-0.022589685126073733
14,EURJPY,-1,2016-10-06 04:00:00+00:00,2016,20,0.009419377591909913,0.00021711744037167247,-0.0016743559117340379,-0.0016743559117340379,-0.0012754951070190756,-0.0031697923090905356,-0.0031697923090905356,-0.0014926125473907481,-0.0014954363973564977,-0.0018914733521057103,-0.00189429720207146
15,GBPUSD,1,2016-10-06 08:00:00+00:00,2016,49,-0.03272085391714339,-0.04227332140755746,-0.05720818376751846,-0.0046399955771957435,-0.041016005014422485,-0.05597047406144151,-0.05597047406144151,0.0012573163931349773,0.0012377097060769504,-0.014934862359960999,-0.014954469047019026
16,USDJPY,-1,2016-10-06 12:00:00+00:00,2016,31,0.0037781740748037305,-0.004417483428428737,-0.005792238880583778,-0.00119690247407922,-0.0040410476661958405,-0.005415287887259312,-0.00012013850400083292,0.0003764357622328962,0.00037695099332446524,-0.001374755452155041,-0.0013742402210634719
17,NZDUSD,1,2016-10-07 00:00:00+00:00,2016,31,-0.0037298259881936666,-0.01222709872821337,-0.013447004220592529,-0.0013461026122802977,-0.011977703112676208,-0.013197916610145133,-0.002510529425417407,0.0002493956155371624,0.000249087610447396,-0.0012199054923791586,-0.001220213497468925
18,USDCAD,-1,2016-10-07 08:00:00+00:00,2016,8,0.009326994794060357,-0.0025087958533294152,-0.0027724831051809673,-0.0027724831051809673,0.0007439142500369478,-0.00014290382532733403,-0.00014290382532733403,0.003252710103366363,0.0026295792798536333,-0.00026368725185155206,-0.0008868180753642818
19,AUDNZD,-1,2016-10-12 08:00:00+00:00,2016,18,0.004738638832374777,-0.002215578407226637,-0.003684066160853039,-0.0009045317068316905,-0.00314291693657065,-0.004612763464998837,-0.0023629978982497857,-0.0009273385293440128,-0.000928697304145798,-0.0014684877536264018,-0.001469846528428187
20,USDCHF,-1,2016-10-12 12:00:00+00:00,2016,22,0.003291998222724749,-0.00018176677303394229,-0.0005856929353313944,-0.0005352021650442129,-0.00038379716637071404,-0.0007878049191991643,-0.0007878049191991643,-0.00020203039333677175,-0.00020211198386776985,-0.00040392616229745215,-0.00040400775282845025
21,AUDCHF,-1,2016-10-18 00:00:00+00:00,2016,21,0.0008471212711524766,-0.009764727302073117,-0.01116638171599349,-0.004060436983459592,-0.006897381767912103,-0.008295056019508085,-0.0023770208008775384,0.0028673455341610143,0.002871325696485405,-0.0014016544139203724,-0.0013976742515959817
22,EURAUD,1,2016-10-18 04:00:00+00:00,2016,29,-0.0015245278405700447,-0.009567006047908166,-0.010954485139731407,-0.0030295195523498686,-0.009077360026795822,-0.010465525054589309,-0.0025366415566666634,0.0004896460211123443,0.0004889600851420983,-0.0013874790918232405,-0.0013881650277934865
23,AUDUSD,-1,2016-10-19 12:00:00+00:00,2016,6,0.009736050611906253,-0.0015556938394525321,-0.002631715411740343,-0.0017371914540553757,-0.0010755305696692474,-0.002151036278446483,-0.002151036278446483,0.0004801632697832847,0.0004806791332938598,-0.0010760215722878108,-0.0010755057087772357
