param,value,label,n_d0,sum_d0,n_d1,dropped,pool_diff,pool_diff_rel,rob0_k_d0,rob0_cagr_d0,rob0_k_d1,rob0_cagr_d1,diff_pp
base,,base(champion),1214,1.908585105233095,1207,7,0.05365577005262498,0.028112851716964444,5.654061889648435,0.16396128193638093,6.083699951171874,0.18236130756298574,1.840002562660481
window,45.0,window=45,1240,1.885657011568971,1230,10,-0.007752580362206695,-0.0041113417311009915,6.387518920898437,0.16885287461994647,6.71279541015625,0.17956952389029746,1.0716649270350986
window,55.0,window=55,1179,1.9015798810475562,1174,5,-0.03588906286433588,-0.0188732870083612,4.855744628906249,0.12278710506081603,5.010580139160156,0.12476720787673368,0.19801028159176504
entry_z,1.9,entry_z=1.9,1270,1.74329010926357,1264,6,0.01672718118223252,0.009595179306844516,5.165659484863282,0.14888807342366528,5.376577148437501,0.15569995769105693,0.6811884267391655
entry_z,2.1,entry_z=2.1,1132,1.8156552466997897,1126,6,0.11672642717469418,0.0642888716824744,5.218571777343749,0.13553651997915894,5.947152099609374,0.16646936750151453,3.093284752235559
exit_z,0.4,exit_z=0.4,1195,1.905201654626932,1189,6,0.062312133058340186,0.03270631899096365,5.094947204589843,0.14535732835541304,5.574815368652343,0.16443734457487968,1.9080016219466645
exit_z,0.6,exit_z=0.6,1232,1.7504205220571034,1224,8,0.043781419379747735,0.025011943603298014,5.555064697265625,0.14518778460528203,6.116617736816407,0.16574857963338951,2.056079502810748
slow_z,1.6,slow_z=1.6,1438,2.149699978417507,1425,13,-0.009273669772928664,-0.004313936766076277,5.4194921875,0.17931482794176312,5.844253540039061,0.19328147963590037,1.3966651694137244
slow_z,1.9,slow_z=1.9,1002,1.5181582829094271,996,6,0.0297973220814337,0.019627282884054457,5.8681494140625,0.12664346350347233,6.372644958496094,0.14464509574461815,1.8001632241145815
er_max,0.5,er_max=0.5,1194,1.8451333359076743,1187,7,0.05216582274368972,0.028272115477241566,5.805239868164062,0.16568152719141183,6.249508056640625,0.1834784961663709,1.7796968974959082
er_max,0.6,er_max=0.6,1224,1.8722937973691072,1217,7,0.06453679587995773,0.03446937439553715,5.458749694824219,0.15566644413086994,6.074434204101562,0.18014015127482974,2.44737071439598
