seed,p95_d0,p95_d1,diff_pp,signature
0,-0.2784085610965869,-0.2728919538292521,0.5516607267334828,False
1,-0.2819426796278529,-0.27881174486821336,0.31309347596395476,False
2,-0.2818276458802238,-0.27634166648350333,0.5485979396720464,False
3,-0.2818207012064819,-0.27805535447496404,0.3765346731517849,False
4,-0.2780039962831877,-0.27584081793343723,0.21631783497504942,False
5,-0.2850793893238339,-0.27970617564522365,0.5373213678610267,False
6,-0.28485694793782024,-0.275524355983402,0.9332591954418212,False
7,-0.2902159080699566,-0.28237203019558155,0.7843877874375071,False
8,-0.28124006482543057,-0.27671516131077545,0.4524903514655121,False
9,-0.2910033887380766,-0.2796821760458167,1.1321212692259885,False
