cfg,emp_k,emp_cagr,emp_p95,rob_mean,rob_s0,rob_s1,rob_s2,rob_s3,rob_s4,gain_pp,all_seeds_pos,signature,g3_oos,g4_all_years_pos,worst_year,neg_emp,neg_rob0,is_rob_cagr,oos_rob_cagr,oos_rob_dd,oos_emp_cagr
base_d1,8.895088391304014,0.27499459104059665,-0.2728919538292521,0.18625453529025582,0.18236130756298574,0.1879165426408731,0.18031158599210362,0.19156076313641957,0.18912247711889707,0.0,,,,,0.05208929763660097,0,0,0.1553746471523325,0.24792161697528914,-0.11496991713737492,0.44349335670884993
h20decon,8.921148304939269,0.27715593153685814,-0.2734423846959655,0.18861314752220054,0.1867539998486094,0.18543658665148555,0.18953362783982408,0.1925150500662831,0.18882647320480062,0.23586122319447234,False,False,False,True,0.04487515999231517,0,0,0.15872899618399705,0.25101097080337587,-0.1160003868415378,0.4382274916387243
P4.5,8.933846797943112,0.28006930790761864,-0.2742504620381216,0.1910045776776766,0.18821156276227735,0.1925057207478309,0.18625505125297037,0.19537790149349443,0.19267265213180984,0.4750042387420772,True,False,False,True,0.04854179714788964,0,0,0.15592034091141116,0.25188005259457236,-0.11260285227975397,0.43314774702999514
mp9,10.45680491447449,0.29280343586207813,-0.28291549536872707,0.19036205660469255,0.1873098099120003,0.18991312693561158,0.18626692991763094,0.19576408490733477,0.19255633135088512,0.41075213144367295,True,True,True,True,0.06743834518396086,0,0,0.15882230457032676,0.2546401343074729,-0.11609121210103246,0.4511508536789717
mp10,11.431845726966856,0.2904658684988153,-0.2773423115890236,0.19246707519894118,0.18851666212439766,0.19365809290993452,0.18847821632013817,0.19817219031828204,0.1935102143219536,0.6212539908685366,True,False,True,True,0.07675867322877283,0,0,0.1614464032951639,0.2591762201546095,-0.11688757154037133,0.456038069853538
tau1.25,8.8335732793808,0.2714872455981061,-0.2688217266015632,0.18774204916358367,0.18829733000581927,0.18744038047570966,0.18470139937029995,0.1900828991975918,0.18818823676849772,0.14875138733278503,False,False,False,True,0.0733103652811693,0,0,0.15856335201863492,0.24410181716820212,-0.11541048854332214,0.432266718610675
h20+P4.5,8.962996563911435,0.28219716629238323,-0.2717849086985318,0.19275892430806468,0.19026969652732606,0.19180604710975668,0.19192551595168372,0.19700740051850074,0.19278596143305626,0.6504389017808865,True,False,False,True,0.041339918933857245,0,0,0.16134976525073763,0.25896629312338626,-0.11513821232734456,0.42843138483576215
h20+mp9,10.488694019317627,0.295096232958066,-0.2817092308397687,0.19414223590119226,0.19378286447848825,0.1915481128082468,0.1920940875589372,0.19995755612195576,0.1933285585383333,0.7887700610936438,True,True,True,True,0.059834346728829146,0,0,0.16290704527007005,0.25895333631215456,-0.1175835044670227,0.44575662522941806
h20+mp10,11.628838100433349,0.29762378478389806,-0.2813191314095109,0.19742417788266584,0.19677960000298178,0.19682487415837668,0.19500848522987257,0.20317640065646492,0.19533152936563325,1.1169642592410018,True,True,True,True,0.06884126175180683,0,0,0.16494262800253212,0.2635539238077653,-0.11808955016622591,0.45196111730241095
h20+P4.5+mp9,10.524518780708313,0.30016023848289053,-0.28136300269704184,0.1979434914407688,0.19759502322318356,0.1943855340321048,0.19502546171553292,0.2044463337512632,0.1982651044817596,1.1688956150512992,True,True,False,True,0.05741944330834836,0,0,0.16426121878469924,0.26446457624632,-0.11571803650476142,0.4355386894651587
h20+P4.5+mp10,11.710983977317811,0.30393512043487747,-0.28065191321782657,0.20249755493296942,0.20175333173195575,0.20151693869873455,0.2002174236832448,0.20875641486731134,0.20024366568360064,1.62430196427136,True,True,False,True,0.06608567900457918,0,0,0.16556589366963204,0.26812522888589396,-0.1157889585275409,0.44172030735878054
