instr,entry,exit,dir,entry_price,ret,bars_held,z_entry,vol_entry,f_z_depth,f_vol_entry,f_is_cross,f_is_jpy,f_slow_z_dir,f_er40,f_rsi_dist,f_vol_pctile,f_atr_pct,f_pre_ret_dir,f_slope_dir,f_dist_high,f_dist_low,f_hour,f_dow,mae,mfe,t_mae_bars,t_mfe_bars,worst_bar,worst_bar_t,max_gap_h,n_weekends,vol_expand,ret_from_mae,bleed_share,slowz_exit_dir,ever_pos_05,year,ev
EURCAD,2016-08-02 08:00:00+00:00,2016-08-03 12:00:00+00:00,-1,1.4614636495000004,0.00035943240885927784,7,2.042677946734962,0.0018899012091368086,2.042677946734962,0.0018899012091368086,1.0,0.0,2.9850300218389556,0.32454196122335865,3.9468967226900133,0.39,0.15920298260687513,0.006482873093480279,0.09766074387133902,0.0,2.16108876933477,8.0,1.0,-0.007463398486824202,0.0005646481204404363,5.0,7.0,-0.005121976866157896,1.0,4.0,0.0,1.221305868297916,0.008028046607264638,0.6807633816537076,1.732442549095501,0.0,2016,
AUDCAD,2016-08-08 08:00:00+00:00,2016-08-11 12:00:00+00:00,-1,1.0044931112,0.0017638489306145574,19,2.2504992008454265,0.0020135620640245057,2.2504992008454265,0.0020135620640245057,1.0,0.0,1.9022313034167684,0.2697700225815553,2.7345235118511937,0.69,0.15723865131016876,0.010929089514006174,0.10253866582628983,0.0,1.9224164106775337,8.0,0.0,-0.003342441173949995,0.002062199080353433,6.0,19.0,-0.0029533685812626054,1.0,4.0,0.0,1.002359453365746,0.005404640254303428,0.2928194970787821,1.4928689505298602,0.0,2016,
AUDUSD,2016-08-10 08:00:00+00:00,2016-08-12 12:00:00+00:00,-1,0.7740100000000001,0.009366804046459376,13,2.091181382240092,0.0022374685344598777,2.091181382240092,0.0022374685344598777,0.0,0.0,2.2018748051345067,0.35434376943811013,1.6163335363056603,0.48,0.32709994266938003,0.005826181238651307,0.07091263178782302,0.0,2.352039689858055,8.0,2.0,-0.0,0.009469672501776438,0.0,13.0,-0.001485692138750716,5.0,4.0,0.0,1.0566293470312156,0.009469672501776438,0.38720538720535946,1.5416992426612985,1.0,2016,
NZDCAD,2016-08-11 00:00:00+00:00,2016-08-11 12:00:00+00:00,-1,0.9496964192000001,0.008306967090226158,3,3.182873158622755,0.0025793860505933697,3.182873158622755,0.0025793860505933697,1.0,0.0,1.9139550713294233,0.14822896035100938,6.945202365441901,0.34,0.1707875958574628,0.013377364691055993,0.09111164605077612,0.0,1.7753006685650101,0.0,3.0,-0.0,0.008621495785494648,0.0,3.0,0.001045264560597281,2.0,4.0,0.0,1.0930602656509663,0.008621495785494648,,1.060888393267673,1.0,2016,
USDCAD,2016-08-16 12:00:00+00:00,2016-08-21 20:00:00+00:00,1,1.2862,0.0021069818068728636,21,2.319716645419604,0.0015023175265294353,2.319716645419604,0.0015023175265294353,0.0,0.0,1.8743609389342617,0.5288798133022166,15.27258598901389,0.05,0.24381927063716183,0.010245126423470419,0.09323649570892883,2.8284372611117323,0.0,12.0,1.0,-0.007378667952166906,0.0022003825400034316,13.0,21.0,-0.00370877198438746,12.0,48.0,1.0,1.1497032862985448,0.009579050492170338,0.28874092009685637,1.2641423134482537,0.0,2016,
NZDUSD,2016-08-23 08:00:00+00:00,2016-08-26 16:00:00+00:00,-1,0.73361,0.014639931298646526,20,2.1742883411742353,0.0022914277827985746,2.1742883411742353,0.0022914277827985746,0.0,0.0,1.7835245061624583,0.22067460983386372,-0.07821162824039618,0.07,0.4042206684025204,0.0068733246271222015,0.11641446450972211,0.0,2.0397296743805122,8.0,1.0,-0.0,0.014829353396576206,0.0,20.0,-0.0034347399411187585,6.0,4.0,0.0,1.2549461181415595,0.014829353396576206,0.30000000000000293,0.5068602512093929,1.0,2016,
AUDNZD,2016-09-01 16:00:00+00:00,2016-09-05 20:00:00+00:00,1,1.0373746937990882,0.0013354217724125192,14,2.109121218514235,0.0012126872837722965,2.109121218514235,0.0012126872837722965,1.0,0.0,1.7797208345160946,0.219586189036855,0.3594246050189014,0.24,0.11407802859312229,0.0032066912741101072,0.006159907718981251,1.2726646795555236,0.0,16.0,3.0,-0.00221918942781385,0.001624848272822943,4.0,14.0,-0.0015759070438478018,3.0,48.0,1.0,1.1489582802599216,0.003844037700636793,0.31503060849831765,1.495243327856799,0.0,2016,
GBPUSD,2016-09-06 16:00:00+00:00,2016-09-08 12:00:00+00:00,-1,1.3424650000000002,0.009363372601893113,11,2.34379303144065,0.0014462490758174523,2.34379303144065,0.0014462490758174523,0.0,0.0,2.413262737694046,0.4451974071891521,17.29607544755659,0.23,0.3016265490943802,0.010034753042771793,0.06760057343714906,0.0,2.6960200190657777,16.0,1.0,-0.0,0.009430097354954592,0.0,11.0,-0.0007225272065013444,8.0,4.0,0.0,1.286855370933562,0.009430097354954592,0.7461538461538735,1.147840100687194,1.0,2016,
NZDUSD,2016-09-06 16:00:00+00:00,2016-09-09 08:00:00+00:00,-1,0.7412,0.007245008094981073,16,3.224619768716582,0.0026003198925104156,3.224619768716582,0.0026003198925104156,0.0,0.0,2.127340883305065,0.4277227722772308,13.072596781763934,0.64,0.406562095487595,0.015635071935045985,0.08159701748832707,0.0,2.5603284134336186,16.0,1.0,-0.007689505848071709,0.007433188986469164,9.0,16.0,-0.003183725228324441,4.0,4.0,0.0,1.260912778688347,0.015122694834540873,0.26077348066298506,1.3369011938271067,1.0,2016,
NZDCAD,2016-09-08 08:00:00+00:00,2016-09-09 08:00:00+00:00,-1,0.9601278346000001,0.007113828756819245,6,2.000354308221936,0.0017754911633280402,2.000354308221936,0.0017754911633280402,1.0,0.0,2.1831008722349305,0.2666565782550344,6.372934573008308,0.36,0.13909970467369742,0.010212283442945225,0.10860309194657457,0.0,2.066059132865025,8.0,3.0,-0.0,0.007425127127890008,0.0,6.0,-0.0020259799090441843,3.0,4.0,0.0,1.1756711111487104,0.007425127127890008,1.0,1.3820483147844584,1.0,2016,
