instr,entry,exit,year,dir,ret,win,bars_held,w_fz,fav_exitbar_bps,filled,fill_pos,exit_pos,bars_saved,L,delta_ret,delta_bps
EURCAD,2016-08-02 08:00:00+00:00,2016-08-03 12:00:00+00:00,2016,-1,0.00035943240885927784,True,7,0.6083639897217155,1.8841764421540137,False,-1,258,0,,0.0,0.0
AUDCAD,2016-08-08 08:00:00+00:00,2016-08-11 12:00:00+00:00,2016,-1,0.0017638489306145574,True,19,0.8963535666861343,-0.0,False,-1,295,0,,0.0,0.0
AUDUSD,2016-08-10 08:00:00+00:00,2016-08-12 12:00:00+00:00,2016,-1,0.009366804046459376,True,13,0.6682373000025297,2.0868113522529472,False,-1,301,0,,0.0,0.0
NZDCAD,2016-08-11 00:00:00+00:00,2016-08-11 12:00:00+00:00,2016,-1,0.008306967090226158,True,3,2.4557032031477037,-0.0,False,-1,295,0,,0.0,0.0
USDCAD,2016-08-16 12:00:00+00:00,2016-08-21 20:00:00+00:00,2016,1,0.0021069818068728636,True,21,1.0118209190334564,5.042786100530186,False,-1,335,0,,0.0,0.0
NZDUSD,2016-08-23 08:00:00+00:00,2016-08-26 16:00:00+00:00,2016,-1,0.014639931298646526,True,20,0.7809665758929245,10.099612617598344,True,364,364,0,0.7282608,-0.0074430269327227724,-74.43026932722772
AUDNZD,2016-09-01 16:00:00+00:00,2016-09-05 20:00:00+00:00,2016,1,0.0013354217724125192,True,14,0.6914647769812794,0.6946311171708188,False,-1,403,0,,0.0,0.0
GBPUSD,2016-09-06 16:00:00+00:00,2016-09-08 12:00:00+00:00,2016,-1,0.009363372601893113,True,11,1.0544862798782202,11.580253412038012,False,-1,419,0,,0.0,0.0
NZDUSD,2016-09-06 16:00:00+00:00,2016-09-09 08:00:00+00:00,2016,-1,0.007245008094981073,True,16,2.4557032031477037,1.6309666195499755,False,-1,424,0,,0.0,0.0
NZDCAD,2016-09-08 08:00:00+00:00,2016-09-09 08:00:00+00:00,2016,-1,0.007113828756819245,True,6,0.559489064336651,0.4968988804593247,False,-1,424,0,,0.0,0.0
AUDCHF,2016-09-13 16:00:00+00:00,2016-09-16 12:00:00+00:00,2016,1,0.005635592679076035,True,17,1.514941849615035,6.301236292917014,False,-1,456,0,,0.0,0.0
EURGBP,2016-09-26 08:00:00+00:00,2016-09-27 12:00:00+00:00,2016,-1,0.009782896008670194,True,7,0.8003505710697023,8.357537806310129,False,-1,500,0,,0.0,0.0
EURCHF,2016-09-29 20:00:00+00:00,2016-09-30 08:00:00+00:00,2016,1,0.003358230562306744,True,3,1.0947766379526014,5.908047877970434,False,-1,517,0,,0.0,0.0
GBPCHF,2016-10-05 20:00:00+00:00,2016-10-18 04:00:00+00:00,2016,1,-0.025803191510612306,False,52,0.6101834473311425,4.000718496384617,False,-1,591,0,,0.0,0.0
