er_win,er_hi,er_lo,ma_win,side,mean_in_bleed,mean_normal,hedge_edge,winrate_in_bleed,IS,OOS,total_in_bleed,total_all,persist
20,0.35,0.25,50,both,-365.2963576004654,-460.98821922128064,95.69186162081525,0.23809523809523808,-140.1219546889229,-612.9882008031622,-7671.223509609774,-53770.045431737846,False
20,0.35,0.25,50,long,-156.6130613273625,-241.41431241907358,84.8012510917111,0.2857142857142857,-37.28490217583964,-287.87403639403766,-3288.8742878746125,-27430.305529781963,False
20,0.35,0.25,50,short,-224.54106669805654,-233.2530271052382,8.711960407181664,0.2857142857142857,-116.27168676723605,-343.6373846219591,-4715.362400659187,-28040.66511118301,False
20,0.35,0.25,100,both,-294.5364368477428,-447.2202118103204,152.68377496257762,0.3333333333333333,-137.1464772262825,-467.6653924313491,-6185.265173802599,-50907.28635483465,False
20,0.35,0.25,100,long,-115.3286722806144,-238.63742170598437,123.30874942536997,0.2857142857142857,-27.368145730892305,-212.0852514853087,-2421.9021178929024,-26285.64428849134,False
20,0.35,0.25,100,short,-193.5401674664487,-221.77582037897884,28.235652912530128,0.23809523809523808,-121.79348724038573,-272.461515715118,-4064.343516795423,-26241.925554693305,False
20,0.35,0.25,200,both,-91.75736016703823,-435.4174275975144,343.66006743047615,0.38095238095238093,2.699019520019316,-195.65937782280153,-1926.9045635078028,-45468.64732325924,False
20,0.35,0.25,200,long,-22.196533684274506,-226.48530420168365,204.28877051740915,0.38095238095238093,26.902176274584647,-76.20511463901957,-466.1272073697646,-23114.65762753813,False
20,0.35,0.25,200,short,-70.77044266098078,-219.4021331631665,148.63169050218573,0.2857142857142857,-33.70121190930331,-111.546596487826,-1486.1792958805963,-23426.392612197247,False
20,0.45,0.25,50,both,-227.4739655411012,-310.48590980580764,83.01194426470644,0.3333333333333333,-14.588591610915996,-461.6478768643049,-4776.953276363125,-35825.54425694388,False
20,0.45,0.25,50,long,-39.73382398935376,-163.271726259363,123.53790227000923,0.3333333333333333,64.24975625236667,-154.11576225524624,-834.4103037764289,-17161.582929712727,False
20,0.45,0.25,50,short,-187.65286471151117,-152.50181844128582,-35.15104627022535,0.2857142857142857,-81.27998936644111,-304.6630275910882,-3940.7101589417343,-19190.892003070316,False
20,0.45,0.25,100,both,-262.6450769765163,-301.3182044214135,38.673127444897204,0.3333333333333333,-121.53282702384769,-417.8685519244517,-5515.546616506842,-35647.3670586482,False
20,0.45,0.25,100,long,-38.61638908350072,-164.11912138065264,125.50273229715192,0.3333333333333333,27.922597957315784,-111.80927482839888,-810.9441707535152,-17222.85630881878,False
20,0.45,0.25,100,short,-224.72957477329345,-143.82169076695,-80.90788400634344,0.19047619047619047,-149.92067129429532,-307.0193686001914,-4719.3210702391625,-19101.490146934164,False
20,0.45,0.25,200,both,-110.4999696475418,-308.10808743953214,197.60811779199034,0.42857142857142855,-20.91973721743199,-209.0382253206626,-2320.499362598378,-33131.308106551594,False
20,0.45,0.25,200,long,16.512417084509813,-157.78902884408657,174.3014459285964,0.38095238095238093,59.16037316703808,-30.40033460627128,346.7607587747061,-15432.142125633953,False
