instr,dir,sum_ret,n,pf
AUDCAD,-1,-0.2803,160,0.5651
AUDCAD,1,-0.1562,155,0.723
AUDCHF,-1,-0.1736,166,0.7879
AUDCHF,1,-0.4077,164,0.5372
AUDNZD,-1,-0.2356,159,0.5091
AUDNZD,1,0.0093,152,1.022
AUDUSD,-1,-0.0421,151,0.943
AUDUSD,1,-0.3129,162,0.6725
EURAUD,-1,-0.2014,162,0.7256
EURAUD,1,-0.1159,161,0.8332
EURCAD,-1,-0.2155,158,0.6286
EURCAD,1,-0.2819,165,0.6135
EURCHF,-1,-0.0896,165,0.7965
EURCHF,1,-0.1375,140,0.6562
EURGBP,-1,-0.2651,164,0.576
EURGBP,1,-0.0706,151,0.8767
EURJPY,-1,-0.3158,144,0.5785
EURJPY,1,-0.0558,162,0.9238
EURUSD,-1,-0.1088,158,0.8127
EURUSD,1,-0.276,164,0.6325
GBPAUD,-1,-0.0382,152,0.9435
GBPAUD,1,-0.066,155,0.8967
GBPCHF,-1,0.1177,150,1.1999
GBPCHF,1,-0.1324,147,0.7739
GBPJPY,-1,-0.0236,135,0.9695
GBPJPY,1,0.0332,157,1.041
GBPUSD,-1,-0.0369,158,0.948
GBPUSD,1,-0.0695,152,0.8983
NZDCAD,-1,-0.2707,170,0.6463
NZDCAD,1,-0.1919,154,0.7209
NZDUSD,-1,0.0801,152,1.1122
NZDUSD,1,-0.3092,167,0.681
USDCAD,-1,-0.0188,151,0.9644
USDCAD,1,-0.133,161,0.7844
USDCHF,-1,-0.16,169,0.7737
USDCHF,1,-0.0718,142,0.8617
USDJPY,-1,-0.1877,136,0.732
USDJPY,1,0.204,161,1.3287
XAUUSD,-1,-0.2693,126,0.7461
XAUUSD,1,0.7744,154,1.7758
