instr,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
AUDCAD,0.0222,-0.0402,-0.0663,-0.065,0.0115,-0.0292,-0.0415,-0.0555,-0.0487,-0.1026,-0.0212
AUDCHF,-0.1331,-0.1006,-0.0435,-0.0876,0.1001,-0.0237,-0.1729,0.0159,0.0455,-0.0733,-0.1081
AUDNZD,-0.0292,-0.0137,-0.0162,-0.0852,0.0167,-0.002,-0.04,-0.0499,-0.0068,-0.0003,0.0002
AUDUSD,-0.022,0.0086,-0.0511,0.0009,0.058,-0.0438,-0.1011,0.0124,-0.0433,-0.158,-0.0158
EURAUD,-0.0887,-0.0348,-0.0136,-0.0714,0.0399,-0.0598,-0.0499,-0.0603,0.0056,-0.0302,0.0458
EURCAD,-0.0547,-0.023,-0.0395,-0.0635,-0.1144,-0.0853,-0.0085,-0.0391,-0.0227,-0.0609,0.0141
EURCHF,-0.0777,-0.0578,-0.015,-0.0149,-0.0728,0.0117,0.003,0.0008,0.0681,-0.0843,0.0118
EURGBP,0.1032,-0.0492,-0.0737,-0.0315,-0.034,-0.0893,-0.0816,-0.0489,-0.0334,0.017,-0.0143
EURJPY,-0.1354,-0.0342,-0.0314,0.0048,-0.0534,-0.0178,0.0663,-0.1014,0.0676,-0.0832,-0.0534
EURUSD,-0.0765,-0.0368,-0.0586,-0.0768,0.0456,0.0085,-0.0228,-0.084,-0.0283,-0.0541,-0.0011
GBPAUD,0.0916,0.0482,-0.068,-0.01,-0.0036,-0.064,-0.0595,-0.0207,-0.019,-0.0295,0.0302
GBPCHF,0.082,-0.0141,0.0277,-0.0237,-0.0123,-0.0459,0.0107,-0.0609,0.0549,-0.0129,-0.0203
GBPJPY,0.0154,0.0444,-0.004,0.0691,0.0029,0.021,0.0696,-0.1447,0.154,-0.1236,-0.0944
GBPUSD,0.0314,-0.1017,0.0826,-0.0168,-0.0379,-0.0453,0.102,-0.0154,-0.0226,-0.072,-0.0105
NZDCAD,-0.0294,-0.0623,0.0412,-0.0167,-0.1315,0.0009,0.0525,-0.0551,-0.0692,-0.1303,-0.0628
NZDUSD,-0.0159,0.0511,0.0487,-0.0055,0.0018,-0.0489,0.0548,-0.1026,-0.0166,-0.1526,-0.0436
USDCAD,-0.0661,0.0511,-0.0445,-0.0235,0.0307,-0.0077,-0.0977,0.0168,-0.0191,-0.0315,0.0398
USDCHF,-0.0615,-0.0289,-0.0185,-0.0399,-0.0221,0.0224,0.0434,-0.0779,-0.0007,-0.0134,-0.0348
USDJPY,0.0246,-0.0074,-0.0163,-0.0435,-0.0432,-0.0084,0.1398,-0.0015,0.1433,-0.1334,-0.0378
XAUUSD,0.0346,0.1385,-0.0583,-0.0169,0.0561,-0.022,0.0284,0.1319,0.0455,0.2048,-0.0377
