instr,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
AUDCAD,0.42,0.17,0.3,0.85,0.79,1.04,0.07,0.3,0.23,0.41,1.32
AUDCHF,0.36,0.42,1.1,0.23,0.03,0.33,0.49,1.07,0.24,0.55,1.07
AUDNZD,0.42,0.78,0.89,0.14,0.5,0.2,0.19,0.07,0.62,1.19,1.36
AUDUSD,0.31,1.04,1.16,0.06,0.72,0.63,0.48,0.01,1.08,0.77,0.78
EURAUD,0.84,0.66,0.83,0.28,0.06,0.21,0.04,0.39,0.52,0.59,1.66
EURCAD,0.48,0.8,0.51,1.28,0.75,1.22,0.12,0.12,0.39,1.2,0.13
EURCHF,0.74,1.83,0.74,0.89,0.07,1.03,0.62,1.23,0.22,0.18,0.54
EURGBP,0.88,0.52,0.18,0.8,0.6,1.18,0.65,0.42,1.15,1.06,0.38
EURJPY,0.07,1.13,0.89,0.45,0.44,0.64,0.59,1.07,0.49,1.58,0.08
EURUSD,1.24,1.83,0.62,0.44,1.13,1.27,0.6,0.41,1.06,1.56,0.44
GBPAUD,1.3,0.11,0.51,0.5,0.67,0.75,0.49,0.67,1.26,0.02,1.56
GBPCHF,1.07,0.52,0.69,0.27,0.61,0.29,0.96,0.71,0.86,0.85,0.17
GBPJPY,0.48,0.5,0.89,0.29,0.19,1.32,0.15,1.27,0.93,0.84,0.29
GBPUSD,1.42,1.02,0.68,0.45,0.27,0.16,0.9,0.62,0.27,0.99,0.2
NZDCAD,0.63,0.5,0.36,0.68,0.49,0.79,0.05,0.33,0.59,0.25,0.41
NZDUSD,0.01,0.28,0.61,0.03,0.54,0.51,0.57,0.05,1.31,0.29,0.1
USDCAD,0.81,0.92,1.19,0.92,0.25,0.1,0.84,0.38,1.64,0.79,0.49
USDCHF,0.85,0.63,0.11,0.26,1.22,0.46,0.15,1.19,1.04,1.47,0.07
USDJPY,0.93,0.43,0.4,0.14,0.59,1.99,1.08,0.73,1.05,0.03,0.44
XAUUSD,0.99,1.21,0.16,1.41,1.09,0.27,0.02,0.9,1.57,2.63,0.12
