instr,dir,sum_ret,n,pf
AUDCAD,-1,-0.0994,92,0.6866
AUDCAD,1,-0.0986,93,0.759
AUDCHF,-1,-0.026,91,0.9399
AUDCHF,1,-0.2931,92,0.5054
AUDNZD,-1,-0.0951,87,0.6593
AUDNZD,1,0.0511,87,1.1957
AUDUSD,-1,-0.2414,100,0.5579
AUDUSD,1,-0.3068,101,0.5369
EURAUD,-1,-0.2211,123,0.5933
EURAUD,1,-0.0894,122,0.7971
EURCAD,-1,-0.214,124,0.552
EURCAD,1,-0.0937,124,0.8076
EURCHF,-1,-0.0149,106,0.9431
EURCHF,1,-0.1774,105,0.5069
EURGBP,-1,-0.2847,112,0.4283
EURGBP,1,-0.2796,112,0.4137
EURJPY,-1,-0.4241,81,0.2888
EURJPY,1,0.0916,81,1.1891
EURUSD,-1,-0.0536,100,0.8725
EURUSD,1,0.0041,100,1.0093
GBPAUD,-1,-0.1649,101,0.6603
GBPAUD,1,-0.0267,100,0.9388
GBPCHF,-1,-0.2368,108,0.5669
GBPCHF,1,-0.3819,108,0.4394
GBPJPY,-1,-0.4297,89,0.4208
GBPJPY,1,0.1031,89,1.1841
GBPUSD,-1,-0.0661,86,0.8544
GBPUSD,1,-0.0048,86,0.9882
NZDCAD,-1,-0.0949,86,0.7896
NZDCAD,1,-0.2258,87,0.4798
NZDUSD,-1,-0.1063,89,0.8228
NZDUSD,1,-0.295,90,0.5342
USDCAD,-1,-0.1788,97,0.5802
USDCAD,1,-0.0922,98,0.7535
USDCHF,-1,-0.0505,94,0.883
USDCHF,1,-0.2347,94,0.51
USDJPY,-1,-0.1392,78,0.652
USDJPY,1,0.3589,78,2.0084
XAUUSD,-1,-0.0957,75,0.8373
XAUUSD,1,1.177,75,4.1459
