instr,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
AUDCAD,-0.0122,-0.0412,-0.0133,-0.046,0.0346,0.0366,-0.1587,0.0035,-0.07,-0.008,0.0766
AUDCHF,-0.0722,-0.0252,-0.0562,-0.1039,0.0115,0.0677,0.021,-0.1328,-0.0286,-0.0677,0.0672
AUDNZD,-0.0489,-0.0302,-0.0304,0.0321,0.0162,0.0014,0.019,-0.0657,-0.0747,0.0073,0.1298
AUDUSD,-0.0982,0.0032,0.0065,-0.1319,0.0624,-0.0272,-0.0702,-0.0715,-0.1061,-0.1479,0.0328
EURAUD,-0.0973,-0.0119,0.0144,-0.1032,-0.0915,0.0427,-0.01,-0.102,-0.0529,0.0348,0.0667
EURCAD,-0.0209,-0.0551,-0.0439,-0.0281,-0.0567,0.0217,0.0211,-0.0813,-0.058,0.0266,-0.0332
EURCHF,-0.0089,-0.0273,0.0167,-0.0355,0.0201,0.0002,-0.0445,-0.0251,0.02,-0.0611,-0.047
EURGBP,-0.042,-0.1292,-0.0921,0.0203,-0.0401,-0.0692,-0.1017,-0.0085,-0.009,-0.0698,-0.023
EURJPY,-0.0551,0.0686,-0.1363,0.0071,-0.009,0.0132,-0.1894,-0.0531,-0.016,0.0158,0.0216
EURUSD,-0.0306,0.0629,0.0128,-0.0523,-0.0132,-0.0092,0.0881,-0.0899,-0.0343,0.0587,-0.0423
GBPAUD,-0.0796,-0.0079,-0.0614,-0.0011,0.0372,-0.0519,-0.0254,-0.0138,-0.0362,-0.013,0.0616
GBPCHF,-0.0631,-0.1135,-0.0191,0.047,-0.0504,-0.0372,-0.1152,-0.1261,-0.0671,-0.0573,-0.0167
GBPJPY,-0.1159,-0.0984,-0.2191,0.1022,0.1707,0.0396,-0.194,-0.0456,0.0121,-0.0057,0.0273
GBPUSD,-0.0274,-0.1128,-0.0548,-0.0075,0.0967,-0.007,0.1079,0.0207,-0.0284,-0.0201,-0.0381
NZDCAD,0.001,-0.0533,0.0371,-0.0376,-0.0484,0.0711,-0.0369,0.0223,-0.1347,-0.0455,-0.0959
NZDUSD,-0.0545,-0.0086,0.0016,-0.0912,0.0579,-0.0586,-0.005,-0.0739,-0.0881,0.0244,-0.1053
USDCAD,-0.0299,-0.0262,-0.0493,-0.0653,0.1018,-0.0384,-0.0777,-0.0727,-0.0146,0.0168,-0.0155
USDCHF,-0.0664,0.0165,-0.0204,-0.0842,-0.0738,-0.0542,-0.0707,-0.0462,0.0931,0.0632,-0.042
USDJPY,-0.0768,0.0085,0.0357,0.0102,-0.1143,0.0359,0.2279,-0.0174,0.0856,0.0392,-0.0148
XAUUSD,-0.0329,0.0684,0.0302,0.1237,0.195,-0.0508,0.1268,-0.0118,0.2233,0.3984,0.0111
