label,tf,side,params,n,trades_per_year,sum_ret,pool_pf,is_pf,oos_pf,is_sum,oos_sum,mean_bps,win_rate,avg_bars,yearly_pos,worst_year
donch_e55_H4_doten_tsl1_fx19,H4,both,"entry_window=55,tsl_stop=0.01",4942,496.2,-3.6986,0.847,0.898,0.786,-1.3463,-2.3523,-7.48,0.346,44.4,2/11,-1.4353
donch_e55_H4_doten_tsl2_fx19,H4,both,"entry_window=55,tsl_stop=0.02",3802,381.7,-3.8278,0.839,0.882,0.785,-1.5543,-2.2735,-10.07,0.347,76.3,3/11,-1.3542
donch_e55_H4_doten_tsl4_fx19,H4,both,"entry_window=55,tsl_stop=0.04",3678,369.3,-3.5992,0.848,0.863,0.829,-1.8233,-1.7758,-9.79,0.349,82.6,4/11,-1.3591
donch_e100_H4_doten_tsl1_fx19,H4,both,"entry_window=100,tsl_stop=0.01",3544,356.8,-2.1886,0.875,0.968,0.769,-0.2984,-1.8902,-6.18,0.347,47.4,3/11,-1.0548
donch_e100_H4_doten_tsl2_fx19,H4,both,"entry_window=100,tsl_stop=0.02",2262,227.7,-2.1302,0.872,0.986,0.748,-0.1213,-2.0088,-9.42,0.358,116.1,5/11,-1.0377
donch_e100_H4_doten_tsl4_fx19,H4,both,"entry_window=100,tsl_stop=0.04",2022,203.6,-2.4735,0.853,0.905,0.792,-0.8641,-1.6094,-12.23,0.351,148.2,5/11,-0.9991
donch_e55_D1_doten_tsl1_fx19,D1,both,"entry_window=55,tsl_stop=0.01",1672,170.3,-1.8913,0.816,0.972,0.657,-0.1453,-1.7461,-11.31,0.336,13.3,1/11,-0.6711
donch_e55_D1_doten_tsl2_fx19,D1,both,"entry_window=55,tsl_stop=0.02",1060,107.9,-2.3572,0.769,0.89,0.649,-0.5607,-1.7965,-22.24,0.326,34.3,2/11,-0.7669
donch_e55_D1_doten_tsl4_fx19,D1,both,"entry_window=55,tsl_stop=0.04",762,77.6,-3.1758,0.706,0.768,0.634,-1.3481,-1.8277,-41.68,0.327,69.4,2/11,-0.7519
donch_e100_D1_doten_tsl1_fx19,D1,both,"entry_window=100,tsl_stop=0.01",1197,123.7,-1.2131,0.833,1.021,0.657,0.0735,-1.2865,-10.13,0.345,13.0,4/11,-0.576
donch_e100_D1_doten_tsl2_fx19,D1,both,"entry_window=100,tsl_stop=0.02",760,78.6,-1.6449,0.773,0.866,0.672,-0.5042,-1.1407,-21.64,0.341,34.6,2/11,-0.5145
donch_e100_D1_doten_tsl4_fx19,D1,both,"entry_window=100,tsl_stop=0.04",479,49.5,-2.2249,0.711,0.792,0.61,-0.8902,-1.3346,-46.45,0.332,94.7,3/11,-0.8394
tsmom_lb60_D1_doten_tsl1_fx19,D1,both,"lookback=60,tsl_stop=0.01",3362,342.9,-2.4233,0.801,0.904,0.68,-0.6337,-1.7896,-7.21,0.333,7.0,1/11,-0.7645
tsmom_lb60_D1_doten_tsl2_fx19,D1,both,"lookback=60,tsl_stop=0.02",3559,363.0,-3.7397,0.758,0.827,0.678,-1.4466,-2.2931,-10.51,0.312,11.4,1/11,-1.0699
tsmom_lb60_D1_doten_tsl4_fx19,D1,both,"lookback=60,tsl_stop=0.04",3654,372.7,-4.7287,0.728,0.777,0.672,-2.0869,-2.6418,-12.94,0.305,15.0,2/11,-0.9851
tsmom_lb360_H4_doten_tsl1_fx19,H4,both,"lookback=360,tsl_stop=0.01",6983,714.4,-1.9001,0.87,0.944,0.791,-0.4215,-1.4786,-2.72,0.3,15.8,2/11,-0.5446
tsmom_lb360_H4_doten_tsl2_fx19,H4,both,"lookback=360,tsl_stop=0.02",7145,731.0,-3.0403,0.826,0.959,0.687,-0.3689,-2.6713,-4.26,0.282,27.0,3/11,-0.9585
tsmom_lb360_H4_doten_tsl4_fx19,H4,both,"lookback=360,tsl_stop=0.04",7198,736.4,-3.395,0.82,0.886,0.752,-1.1097,-2.2852,-4.72,0.277,38.5,2/11,-0.9832
xau_tsmom_lb60_D1_doten_tsl1,D1,both,"lookback=60,tsl_stop=0.01",127,12.9,0.5808,1.992,1.568,2.374,0.1576,0.4232,45.73,0.449,5.6,10/11,-0.0286
xau_tsmom_lb60_D1_doten_tsl2,D1,both,"lookback=60,tsl_stop=0.02",135,13.8,0.529,1.74,1.333,2.168,0.122,0.4069,39.18,0.37,8.9,9/11,-0.0515
xau_tsmom_lb60_D1_doten_tsl4,D1,both,"lookback=60,tsl_stop=0.04",142,14.5,0.6192,1.733,1.18,2.29,0.0765,0.5428,43.61,0.352,13.2,7/11,-0.0399
xau_tsmom_lb60_D1_tslonly_tsl1,D1,both,"lookback=60,tsl_stop=0.01",127,12.9,0.5808,1.992,1.568,2.374,0.1576,0.4232,45.73,0.449,5.6,10/11,-0.0286
xau_tsmom_lb60_D1_tslonly_tsl2,D1,both,"lookback=60,tsl_stop=0.02",135,13.8,0.529,1.74,1.333,2.168,0.122,0.4069,39.18,0.37,8.9,9/11,-0.0515
xau_tsmom_lb60_D1_tslonly_tsl4,D1,both,"lookback=60,tsl_stop=0.04",142,14.5,0.6192,1.733,1.18,2.29,0.0765,0.5428,43.61,0.352,13.2,7/11,-0.0399
