instr,entry,exit,dir,entry_price,ret,bars_held,z_entry,vol_entry
GBPUSD,2016-10-03 00:00:00+00:00,2017-04-18 00:00:00+00:00,-1,1.285815,0.0011043579364058444,169,1.7468949194808214,0.006098741174195906
USDCAD,2016-10-07 00:00:00+00:00,2017-01-13 00:00:00+00:00,1,1.32967,-0.01395082990516421,84,1.9366795140019806,0.004867668400361744
EURUSD,2016-10-16 00:00:00+00:00,2017-01-31 00:00:00+00:00,-1,1.09653,0.014974510501308753,92,2.9472740808409337,0.0033591838263277198
AUDUSD,2016-10-19 00:00:00+00:00,2016-11-16 00:00:00+00:00,1,0.7726000000000001,-0.030494434377427028,24,2.247323069588388,0.004918130144773741
USDCHF,2016-10-20 00:00:00+00:00,2017-01-17 00:00:00+00:00,1,0.99266,0.010305643422722641,76,2.093159985070523,0.0035571172698941706
USDJPY,2016-11-14 00:00:00+00:00,2017-01-31 00:00:00+00:00,1,108.2135,0.04211119684697387,67,2.6634461195708496,0.005506152853761595
AUDUSD,2016-11-17 00:00:00+00:00,2017-01-13 00:00:00+00:00,-1,0.7398899999999999,-0.01344794496479209,49,3.6916191161921823,0.005525591824310667
NZDUSD,2016-11-20 00:00:00+00:00,2017-01-17 00:00:00+00:00,-1,0.69957,-0.029460954586388876,49,2.0413954519014124,0.006549065222810911
USDCAD,2017-01-31 00:00:00+00:00,2017-03-06 00:00:00+00:00,-1,1.30379,-0.0278188972150422,29,1.6381245342125055,0.005404708619388012
AUDUSD,2017-03-20 00:00:00+00:00,2017-04-07 00:00:00+00:00,1,0.77294,-0.030157580148523766,16,1.680956832422783,0.005894006927463304
EURUSD,2017-03-21 00:00:00+00:00,2017-10-05 00:00:00+00:00,1,1.08128,0.08329942290618524,170,1.8502739478587207,0.004940371081980022
USDJPY,2017-03-21 00:00:00+00:00,2017-07-09 00:00:00+00:00,-1,111.53050000000002,-0.021922254450576148,94,2.1100257176709594,0.004897475378111063
USDCHF,2017-03-26 00:00:00+00:00,2017-10-02 00:00:00+00:00,-1,0.9880399999999999,0.013653293388931571,163,1.8496530133470834,0.003213355958308385
GBPUSD,2017-04-18 00:00:00+00:00,2017-06-20 00:00:00+00:00,1,1.2843950000000002,-0.016560326067915427,54,3.14925559174935,0.006786128107313573
USDCAD,2017-04-25 00:00:00+00:00,2017-06-12 00:00:00+00:00,1,1.3573,-0.019332498342297128,41,2.476503916615022,0.0036103421207658933
NZDUSD,2017-04-27 00:00:00+00:00,2017-05-26 00:00:00+00:00,-1,0.68809,-0.026188434652443776,25,2.23848127153729,0.0041269545989635285
AUDUSD,2017-05-08 00:00:00+00:00,2017-06-16 00:00:00+00:00,-1,0.73897,-0.03124619402682118,34,2.0710552463751584,0.004883372564161243
