instr,entry,exit,dir,entry_price,ret,bars_held,z_entry,vol_entry
GBPUSD,2016-07-05 04:00:00+00:00,2016-07-14 08:00:00+00:00,-1,1.315665,-0.016394750943439066,44,0.7795619471480557,0.003942126305269512
USDJPY,2016-07-06 08:00:00+00:00,2016-07-12 08:00:00+00:00,-1,100.4945,-0.03389240207175508,25,3.0781665473215463,0.0020900881952419506
NZDUSD,2016-07-08 00:00:00+00:00,2016-07-17 20:00:00+00:00,1,0.7268499999999999,-0.02700694778840189,37,2.165650358219754,0.0034519584682303262
USDCHF,2016-07-08 12:00:00+00:00,2016-07-28 12:00:00+00:00,1,0.9844300000000001,-0.0038905762725638853,87,2.270346260580641,0.0019122766403043847
USDCAD,2016-07-11 12:00:00+00:00,2016-08-04 12:00:00+00:00,1,1.31269,-0.007701742223982728,111,2.4763179048109376,0.0023681311553222302
AUDUSD,2016-07-12 04:00:00+00:00,2016-07-20 04:00:00+00:00,1,0.7619400000000001,-0.01809853794262035,37,2.694455184347986,0.0027537005837469848
USDJPY,2016-07-15 00:00:00+00:00,2016-07-26 04:00:00+00:00,1,106.0865,-0.01876770371347903,45,1.946785634170503,0.004670336485485817
EURUSD,2016-07-20 00:00:00+00:00,2016-07-28 04:00:00+00:00,-1,1.1011,-0.008282626464444814,38,1.7661938779747464,0.001960373743842765
NZDUSD,2016-07-20 20:00:00+00:00,2016-07-29 00:00:00+00:00,-1,0.69608,-0.022325020112630548,38,2.0008421445899467,0.0036068329230539483
USDCHF,2016-07-29 08:00:00+00:00,2016-08-09 04:00:00+00:00,-1,0.97388,-0.010494106050026741,43,3.1573700858971234,0.0025404795715959407
EURUSD,2016-07-29 12:00:00+00:00,2016-08-26 12:00:00+00:00,1,1.11694,0.006007484735079747,124,3.267158989101106,0.002003825516865141
USDJPY,2016-08-02 12:00:00+00:00,2016-08-26 12:00:00+00:00,-1,100.8215,-0.003769037358103089,111,2.1995733521540144,0.004618127254006904
AUDUSD,2016-08-05 00:00:00+00:00,2016-08-19 04:00:00+00:00,1,0.76597,-0.006083789182344103,63,1.9804335311845158,0.0017207191319201498
GBPUSD,2016-08-05 12:00:00+00:00,2016-08-18 08:00:00+00:00,-1,1.3066650000000002,-0.006244905924624821,55,1.80269179082179,0.0035732846052552434
NZDUSD,2016-08-10 08:00:00+00:00,2016-08-30 16:00:00+00:00,1,0.72542,-0.005403766094124668,89,2.2339823307809707,0.0035687644495588948
USDCAD,2016-08-10 08:00:00+00:00,2016-08-26 16:00:00+00:00,-1,1.30115,0.0008223494600930785,76,1.6309329874655911,0.0031819860426956317
USDCHF,2016-08-16 04:00:00+00:00,2016-08-26 12:00:00+00:00,-1,0.96411,-0.008079990872410677,51,2.975853509059768,0.002218989700347336
AUDUSD,2016-08-26 16:00:00+00:00,2016-09-06 04:00:00+00:00,-1,0.7559599999999999,-0.011349806868088454,41,2.3398990973788205,0.0022183083573490453
USDJPY,2016-08-30 12:00:00+00:00,2016-09-20 12:00:00+00:00,1,102.93050000000001,-0.012348137821151356,93,2.5380151600969887,0.002684919452176084
USDCHF,2016-08-31 04:00:00+00:00,2016-09-08 00:00:00+00:00,1,0.9844999999999999,-0.015815134586084287,36,1.8513808493330077,0.0019563928991915185
EURUSD,2016-09-01 04:00:00+00:00,2016-09-08 04:00:00+00:00,-1,1.11293,-0.012525495763435219,31,1.5294690206888049,0.0010406896444157148
USDCAD,2016-09-01 04:00:00+00:00,2016-09-06 12:00:00+00:00,1,1.3126600000000002,-0.021635457772767132,21,1.865331748014201,0.0010627082026732643
GBPUSD,2016-09-01 08:00:00+00:00,2016-09-13 12:00:00+00:00,1,1.3245250000000002,-0.004839470753666505,51,1.836294508555369,0.0023754260267612806
NZDUSD,2016-09-06 04:00:00+00:00,2016-09-13 12:00:00+00:00,1,0.73438,-0.011465453852229308,33,2.0082171548637384,0.0017105611150729698
AUDUSD,2016-09-08 04:00:00+00:00,2016-09-12 04:00:00+00:00,1,0.7718099999999999,-0.027156942770889026,13,2.2690341205200824,0.002460227845842267
USDCAD,2016-09-13 12:00:00+00:00,2016-09-22 08:00:00+00:00,1,1.31685,-0.01190720279454751,42,2.1150354307354653,0.0019867477658327
AUDUSD,2016-09-13 12:00:00+00:00,2016-09-21 08:00:00+00:00,-1,0.7467499999999999,-0.017596250418480085,36,2.0964727174821456,0.003102103641830012
GBPUSD,2016-09-16 16:00:00+00:00,2016-11-02 04:00:00+00:00,-1,1.3007149999999998,0.05671496061781391,202,3.23665728867886,0.002709507090381944
USDJPY,2016-09-21 08:00:00+00:00,2016-10-03 12:00:00+00:00,-1,100.9255,-0.006182778386037402,51,2.984260110543514,0.0026812242196752843
NZDUSD,2016-09-23 12:00:00+00:00,2016-10-18 00:00:00+00:00,-1,0.72327,0.006415308252796463,103,2.086328226911373,0.002148332453052059
USDCHF,2016-09-26 12:00:00+00:00,2016-10-04 00:00:00+00:00,-1,0.9668100000000001,-0.008316008316008401,34,1.700665199607789,0.0012784496630687272
USDCAD,2016-09-26 16:00:00+00:00,2016-10-14 16:00:00+00:00,1,1.32372,-0.007048318375487427,86,1.3460976871390358,0.0029187185040417847
USDJPY,2016-10-05 12:00:00+00:00,2016-11-02 04:00:00+00:00,1,103.52949999999998,0.001197726251938029,122,2.6052862131748284,0.0015639175160479986
EURUSD,2016-10-06 20:00:00+00:00,2016-11-01 04:00:00+00:00,-1,1.11415,0.01401965624018312,108,2.7261976301368382,0.0014275211545168422
USDCHF,2016-10-07 00:00:00+00:00,2016-10-28 16:00:00+00:00,1,0.9824400000000001,0.005150441757257362,97,2.104029776965989,0.0015984187391882502
AUDUSD,2016-10-13 00:00:00+00:00,2016-10-17 20:00:00+00:00,-1,0.75339,-0.014016644765659104,18,1.6048548041087745,0.0023129470350253434
AUDUSD,2016-10-19 12:00:00+00:00,2016-10-27 16:00:00+00:00,1,0.77144,-0.016812713885720313,38,2.441050056259585,0.0020493964013418805
USDCAD,2016-10-21 12:00:00+00:00,2016-11-08 12:00:00+00:00,1,1.3325799999999999,0.0008930045475695613,75,2.2473101641005857,0.0018168747089413388
USDCHF,2016-11-01 12:00:00+00:00,2016-11-11 12:00:00+00:00,-1,0.9789199999999999,-0.009479834920115978,49,3.8844094627744887,0.002038646454706429
GBPUSD,2016-11-02 08:00:00+00:00,2016-11-18 12:00:00+00:00,1,1.2317049999999998,-0.0005114861107160915,75,3.247801565761544,0.0018762643639484518
USDJPY,2016-11-02 08:00:00+00:00,2016-11-09 16:00:00+00:00,-1,103.2535,-0.02505484075600331,33,2.4870956213477733,0.002228470780981138
NZDUSD,2016-11-02 08:00:00+00:00,2016-11-11 12:00:00+00:00,1,0.7284499999999999,-0.021648706156908407,44,4.367461299629107,0.0018329260566569076
EURUSD,2016-11-02 12:00:00+00:00,2016-11-09 16:00:00+00:00,1,1.11193,-0.016862572284226638,32,2.6940040244262073,0.001520557676719405
AUDUSD,2016-11-08 16:00:00+00:00,2016-11-10 12:00:00+00:00,1,0.7752800000000001,-0.02339799814260675,11,2.2934937906200417,0.001856290231714695
USDCAD,2016-11-09 00:00:00+00:00,2016-11-22 08:00:00+00:00,1,1.3486600000000002,-0.007110761793187597,58,3.6500459865852966,0.003521447775869518
USDJPY,2016-11-09 16:00:00+00:00,2016-12-29 00:00:00+00:00,1,105.8405,0.10287177403734848,219,2.0790143074349188,0.009035322833012045
AUDUSD,2016-11-11 12:00:00+00:00,2016-11-28 20:00:00+00:00,-1,0.7535900000000001,0.005493703472710903,71,3.076823773199247,0.005901830946962739
EURUSD,2016-11-11 12:00:00+00:00,2016-12-01 20:00:00+00:00,-1,1.08504,0.01732655017326526,89,2.1196192437985206,0.005908669090017532
NZDUSD,2016-11-11 16:00:00+00:00,2016-11-29 12:00:00+00:00,-1,0.71083,-0.0008722197993894803,74,2.8496099611290555,0.0033211186050409905
USDCHF,2016-11-14 12:00:00+00:00,2016-12-05 16:00:00+00:00,1,0.9986800000000001,0.007750230304001223,94,2.3900730183264303,0.0022314912622979546
GBPUSD,2016-12-01 08:00:00+00:00,2016-12-14 20:00:00+00:00,1,1.2622550000000001,-0.006971649943949476,59,3.5678313755098796,0.0029369423878907877
USDCAD,2016-12-01 12:00:00+00:00,2016-12-15 08:00:00+00:00,-1,1.33298,-0.00010502783237537098,61,2.6826420310939008,0.002916170440556709
