n,trades_per_year,sum_ret,pool_pf,is_pf,oos_pf,is_sum,oos_sum,mean_bps,win_rate,avg_bars,yearly_pos,worst_year,mode,tf,entry,exit
22930,2295.8,-9.6656,0.808,0.845,0.763,-4.2265,-5.4391,-4.22,0.337,31.7,0/11,-1.3862,net,H1,55,20
10776,1080.1,-6.7444,0.815,0.854,0.768,-2.946,-3.7983,-6.26,0.344,79.5,1/11,-1.4878,net,H1,100,50
7542,757.4,-5.7419,0.783,0.822,0.735,-2.5738,-3.1681,-7.61,0.348,80.2,0/11,-1.1763,net,H1,200,50
44953,4499.6,-16.0914,0.776,0.801,0.747,-7.9421,-8.1493,-3.58,0.336,33.2,0/11,-2.6141,net,M30,55,20
21379,2140.5,-9.9626,0.811,0.847,0.768,-4.4209,-5.5417,-4.66,0.339,80.6,0/11,-1.4617,net,M30,100,50
14885,1492.0,-8.0335,0.787,0.826,0.739,-3.601,-4.4325,-5.4,0.344,81.6,0/11,-1.2745,net,M30,200,50
43389,4343.1,-15.9065,0.79,0.821,0.751,-7.4302,-8.4763,-3.67,0.337,80.2,0/11,-2.6234,net,M15,100,50
30848,3088.6,-12.2513,0.777,0.817,0.73,-5.4628,-6.7885,-3.97,0.337,79.0,0/11,-2.0017,net,M15,200,50
14937,1497.2,-8.1329,0.785,0.821,0.74,-3.6929,-4.4401,-5.44,0.345,162.3,0/11,-1.2994,net,M15,400,100
22930,2295.8,-4.8478,0.897,0.937,0.849,-1.6065,-3.2414,-2.11,0.354,31.7,1/11,-0.8923,gross,H1,55,20
10776,1080.1,-4.482,0.872,0.912,0.823,-1.7036,-2.7784,-4.16,0.353,79.5,3/11,-1.2536,gross,H1,100,50
7542,757.4,-4.1577,0.836,0.877,0.787,-1.7103,-2.4473,-5.51,0.358,80.2,2/11,-1.0051,gross,H1,200,50
46123,4616.7,-6.8527,0.898,0.926,0.863,-2.6745,-4.1782,-1.49,0.359,31.9,0/11,-1.5992,gross,M30,55,20
21379,2140.5,-5.4643,0.89,0.928,0.845,-1.9743,-3.49,-2.56,0.353,80.6,1/11,-0.9947,gross,M30,100,50
14885,1492.0,-4.9151,0.862,0.903,0.812,-1.8889,-3.0262,-3.3,0.36,81.6,1/11,-0.9505,gross,M30,200,50
44446,4448.9,-7.0176,0.901,0.938,0.857,-2.3747,-4.6429,-1.58,0.358,77.6,0/11,-1.6492,gross,M15,100,50
30848,3088.6,-5.7891,0.886,0.929,0.834,-1.9457,-3.8434,-1.88,0.358,79.0,0/11,-1.3129,gross,M15,200,50
14937,1497.2,-5.006,0.86,0.899,0.812,-1.975,-3.031,-3.35,0.358,162.3,1/11,-0.9747,gross,M15,400,100
