instr,entry,exit,dir,entry_price,exit_price,ret,bars_held,forced
AUDUSD,2016-08-09 00:00:00+00:00,2016-08-26 16:11:00+00:00,1,0.766,0.75879,-0.009516474335544034,17.674305555555556,False
NZDUSD,2016-08-10 21:00:00+00:00,2016-09-23 07:45:00+00:00,1,0.7302,0.72425,-0.008339381324715567,43.447916666666664,False
GBPUSD,2016-08-12 16:35:00+00:00,2016-09-01 08:32:00+00:00,-1,1.29096,1.32364,-0.025385095068226775,19.664583333333333,False
USDJPY,2016-08-16 02:49:00+00:00,2016-08-29 05:39:00+00:00,-1,100.549,102.284,-0.017325489455022894,13.118055555555555,False
USDCHF,2016-08-16 12:31:00+00:00,2016-08-30 14:07:00+00:00,-1,0.95892,0.98285,-0.025060748589485538,14.066666666666666,False
USDCAD,2016-08-16 12:31:00+00:00,2016-09-01 01:30:00+00:00,-1,1.27995,1.31174,-0.024931830079147337,15.540972222222223,False
EURUSD,2016-08-18 18:02:00+00:00,2016-09-05 13:00:00+00:00,1,1.13469,1.11498,-0.017422800338409372,17.790277777777778,False
GBPUSD,2016-09-02 13:30:00+00:00,2016-09-16 14:51:00+00:00,1,1.33508,1.30901,-0.019593671004587754,14.05625,False
AUDUSD,2016-09-08 06:38:00+00:00,2016-09-12 07:47:00+00:00,1,0.77112,0.7518,-0.025156906478551844,4.047916666666667,False
AUDUSD,2016-09-13 16:10:00+00:00,2016-09-27 07:08:00+00:00,-1,0.74608,0.76823,-0.029797329901882053,13.623611111111112,False
USDCAD,2016-09-15 06:33:00+00:00,2016-10-18 08:02:00+00:00,1,1.32226,1.30653,-0.011986508560711373,33.06180555555556,False
GBPUSD,2016-10-03 07:05:00+00:00,2016-11-02 12:32:00+00:00,-1,1.288,1.23456,0.041422254659518216,30.227083333333333,False
USDJPY,2016-10-06 13:16:00+00:00,2016-11-02 10:59:00+00:00,1,103.93,103.358,-0.00557086983503885,26.90486111111111,False
USDCHF,2016-10-07 12:21:00+00:00,2016-11-01 16:20:00+00:00,1,0.98369,0.97761,-0.006282147721959008,25.165972222222223,False
NZDUSD,2016-10-07 15:46:00+00:00,2016-11-02 05:12:00+00:00,-1,0.71182,0.72308,-0.016016859852476244,25.559722222222224,False
EURUSD,2016-10-11 10:36:00+00:00,2016-11-03 00:00:00+00:00,-1,1.1085,1.1094,-0.0008660586213427966,22.558333333333334,False
AUDUSD,2016-10-19 15:01:00+00:00,2016-11-09 04:53:00+00:00,1,0.76946,0.75895,-0.013762183235867531,20.57777777777778,False
