instr,entry,exit,dir,entry_price,exit_price,ret,bars_held,forced
XAUUSD,2016-08-30 17:30:00+00:00,2016-09-06 17:42:00+00:00,-1,1312.778,1352.178,-0.030322007530219297,7.008333333333334,False
XAUUSD,2016-09-15 14:09:00+00:00,2016-10-28 17:17:00+00:00,-1,1309.601,1274.361,0.026607586216903695,43.13055555555555,False
XAUUSD,2016-11-11 14:43:00+00:00,2017-01-04 06:21:00+00:00,-1,1250.529,1162.979,0.06970165452452903,53.65138888888889,False
XAUUSD,2017-01-23 00:39:00+00:00,2017-03-03 08:04:00+00:00,1,1216.071,1226.152,0.007959574798708458,39.30902777777778,False
XAUUSD,2017-03-27 01:01:00+00:00,2017-05-02 12:01:00+00:00,1,1256.428,1253.759,-0.0024422502124735734,36.458333333333336,False
XAUUSD,2017-06-06 13:52:00+00:00,2017-06-16 00:00:00+00:00,1,1294.592,1253.792,-0.03181978263690255,9.422222222222222,False
XAUUSD,2017-07-05 10:01:00+00:00,2017-07-21 12:08:00+00:00,-1,1217.708,1249.612,-0.026532885204861148,16.088194444444444,False
XAUUSD,2017-08-10 12:59:00+00:00,2017-09-20 18:03:00+00:00,1,1284.569,1307.192,0.01729727289497185,41.21111111111111,False
XAUUSD,2017-10-26 16:40:00+00:00,2017-11-15 09:45:00+00:00,-1,1269.052,1286.01,-0.013680082468247028,19.711805555555557,False
XAUUSD,2017-12-05 14:44:00+00:00,2017-12-26 13:29:00+00:00,-1,1267.091,1280.201,-0.0106639008407197,20.947916666666668,False
XAUUSD,2017-12-28 14:30:00+00:00,2018-02-06 15:51:00+00:00,1,1294.458,1327.919,0.025536473725107367,40.05625,False
XAUUSD,2018-02-15 08:17:00+00:00,2018-02-27 16:44:00+00:00,1,1356.112,1315.688,-0.03009926919469863,12.352083333333333,False
XAUUSD,2018-03-15 16:45:00+00:00,2018-03-23 05:30:00+00:00,-1,1315.688,1339.068,-0.01807694178890265,7.53125,False
XAUUSD,2018-03-27 06:42:00+00:00,2018-04-23 12:29:00+00:00,1,1356.112,1325.071,-0.02318124443343439,27.240972222222222,False
XAUUSD,2018-05-01 08:04:00+00:00,2018-06-14 09:26:00+00:00,-1,1309.998,1304.341,0.004013595989610659,44.05694444444445,False
XAUUSD,2018-06-15 13:10:00+00:00,2018-09-13 13:00:00+00:00,-1,1289.478,1210.981,0.06057421285401595,89.99305555555556,False
XAUUSD,2018-10-11 14:28:00+00:00,2018-11-09 13:20:00+00:00,1,1213.241,1215.97,0.0019193351798727498,28.95277777777778,False
XAUUSD,2018-12-04 02:00:00+00:00,2019-01-21 08:47:00+00:00,1,1235.229,1279.708,0.03567910418162423,48.28263888888889,False
XAUUSD,2019-01-25 15:16:00+00:00,2019-03-01 09:13:00+00:00,1,1295.118,1306.565,0.008528407696025253,34.74791666666667,False
XAUUSD,2019-04-02 04:44:00+00:00,2019-05-08 10:56:00+00:00,-1,1285.918,1289.705,-0.0032565461477556713,36.25833333333333,False
XAUUSD,2019-05-21 12:20:00+00:00,2019-05-31 14:38:00+00:00,-1,1270.678,1301.685,-0.024720616964638446,10.095833333333333,False
XAUUSD,2019-06-02 22:34:00+00:00,2019-09-09 23:57:00+00:00,1,1308.018,1496.035,0.14341417103265663,99.05763888888889,False
XAUUSD,2019-11-07 15:40:00+00:00,2019-12-03 13:35:00+00:00,-1,1473.555,1474.495,-0.0009094888876068008,25.913194444444443,False
XAUUSD,2019-12-27 16:27:00+00:00,2020-03-12 14:11:00+00:00,1,1513.998,1584.795,0.04649127789100227,75.90555555555555,False
XAUUSD,2020-03-13 15:44:00+00:00,2020-04-06 07:40:00+00:00,-1,1545.175,1630.105,-0.05523066716289918,23.663888888888888,False
XAUUSD,2020-04-13 15:03:00+00:00,2020-06-03 14:13:00+00:00,1,1700.078,1697.775,-0.0015897400307478549,50.96527777777778,False
XAUUSD,2020-06-22 01:57:00+00:00,2020-08-26 12:18:00+00:00,1,1758.078,1908.985,0.08559909183871928,65.43125,False
XAUUSD,2020-09-24 00:00:00+00:00,2020-10-21 14:35:00+00:00,-1,1854.698,1929.618,-0.04061476475035289,27.60763888888889,False
XAUUSD,2020-11-06 13:46:00+00:00,2020-11-09 14:47:00+00:00,1,1959.698,1868.345,-0.04681519140281798,3.042361111111111,False
XAUUSD,2020-11-09 15:45:00+00:00,2020-12-17 05:57:00+00:00,-1,1854.818,1869.995,-0.008399034194642777,37.59166666666667,False
XAUUSD,2021-01-06 10:07:00+00:00,2021-01-10 23:00:00+00:00,1,1958.475,1848.508,-0.05634778613093028,4.5368055555555555,False
XAUUSD,2021-02-05 00:00:00+00:00,2021-04-08 11:06:00+00:00,-1,1795.775,1748.384,0.026170446792810095,62.4625,False
XAUUSD,2021-05-03 14:00:00+00:00,2021-06-14 00:53:00+00:00,1,1793.468,1870.868,0.042928791727342874,41.453472222222224,False
XAUUSD,2021-06-18 19:59:00+00:00,2021-07-11 22:00:00+00:00,-1,1763.845,1807.838,-0.02517116539893234,23.084027777777777,False
XAUUSD,2021-08-06 14:59:00+00:00,2021-08-27 15:49:00+00:00,-1,1761.358,1811.518,-0.028708383915582916,21.03472222222222,False
XAUUSD,2021-09-03 14:41:00+00:00,2021-09-16 05:45:00+00:00,1,1830.138,1787.048,-0.02376063874541201,12.627777777777778,False
XAUUSD,2021-11-09 00:00:00+00:00,2021-11-28 23:00:00+00:00,1,1824.523,1789.528,-0.01939746471108217,19.958333333333332,False
XAUUSD,2021-12-15 18:45:00+00:00,2021-12-16 15:02:00+00:00,-1,1760.298,1795.425,-0.02018467153533499,0.8451388888888889,False
XAUUSD,2022-01-25 14:45:00+00:00,2022-01-28 09:14:00+00:00,1,1844.878,1791.278,-0.029267055376520634,2.770138888888889,False
