label,tf,params,n,trades_per_year,sum_ret,pool_pf,is_pf,oos_pf,is_sum,oos_sum,mean_bps,win_rate,avg_bars,yearly_pos,worst_year
stop_H4_e55x20_FX7,H4,"entry=55,exit=20",2940,295.3,-0.8566,0.921,0.942,0.898,-0.335,-0.5216,-2.91,0.36,32.7,4/11,-0.3773
stop_H4_e55x20_XAU,H4,"entry=55,exit=20",393,39.4,0.5409,1.227,1.094,1.375,0.1175,0.4234,13.76,0.382,35.3,6/11,-0.0623
stop_H4_e100x50_FX7,H4,"entry=100,exit=50",1257,126.5,-1.0559,0.861,0.799,0.937,-0.8408,-0.2151,-8.4,0.364,87.7,4/11,-0.6065
stop_H4_e100x50_XAU,H4,"entry=100,exit=50",164,16.5,0.3335,1.189,1.22,1.163,0.175,0.1585,20.33,0.39,96.1,7/11,-0.0828
stop_D1_e55x20_FX7,D1,"entry=55,exit=20",543,55.3,-0.7836,0.827,0.795,0.864,-0.5022,-0.2813,-14.43,0.355,28.6,4/11,-0.3707
stop_D1_e55x20_XAU,D1,"entry=55,exit=20",69,7.1,0.2744,1.277,1.112,1.478,0.0605,0.2139,39.77,0.435,32.0,7/11,-0.1045
stop_D1_e100x50_FX7,D1,"entry=100,exit=50",242,25.0,-0.9342,0.696,0.744,0.643,-0.4115,-0.5228,-38.61,0.351,70.7,3/11,-0.3205
stop_D1_e100x50_XAU,D1,"entry=100,exit=50",30,3.1,0.6388,1.992,0.621,32.702,-0.2338,0.8726,212.94,0.467,89.0,5/9,-0.2096
close_H4_e55x20_FX7,H4,"entry=55,exit=20",2184,219.3,-1.4426,0.853,0.884,0.819,-0.5872,-0.8554,-6.61,0.36,32.1,3/11,-0.615
close_H4_e55x20_XAU,H4,"entry=55,exit=20",280,28.1,0.5051,1.245,1.12,1.369,0.1218,0.3833,18.04,0.396,36.1,7/11,-0.0583
close_H4_e100x50_FX7,H4,"entry=100,exit=50",1027,103.6,-0.8619,0.872,0.84,0.908,-0.5754,-0.2864,-8.39,0.368,78.3,6/11,-0.5823
close_H4_e100x50_XAU,H4,"entry=100,exit=50",135,13.6,0.2814,1.178,1.164,1.19,0.1188,0.1626,20.84,0.4,83.9,6/11,-0.0522
close_D1_e55x20_FX7,D1,"entry=55,exit=20",423,43.1,-0.9032,0.78,0.822,0.736,-0.3712,-0.532,-21.35,0.364,31.6,5/11,-0.2952
close_D1_e55x20_XAU,D1,"entry=55,exit=20",52,5.3,0.3579,1.466,1.332,1.604,0.13,0.2279,68.82,0.442,34.0,6/11,-0.0691
close_D1_e100x50_FX7,D1,"entry=100,exit=50",205,21.2,-0.8094,0.717,0.896,0.557,-0.1414,-0.668,-39.48,0.346,73.8,4/11,-0.3144
close_D1_e100x50_XAU,D1,"entry=100,exit=50",21,2.2,1.3758,5.505,1.268,57.82,0.0757,1.3001,655.14,0.571,111.3,7/9,-0.1038
