test,n,sum_ret,pool_pf,is_pf,oos_pf,is_sum,oos_sum,win_rate,yearly,value,sum_ex2022_exit_year,sum_ex2022_entry_year,sum_2022_exit_year
A_base_fxlab_run,127.0,0.5808,1.992,1.568,2.374,0.1576,0.4232,0.449,"{2016: 0.0214, 2017: 0.0026, 2018: 0.0045, 2019: 0.0601, 2020: 0.085, 2021: -0.0286, 2022: 0.0568, 2023: 0.0335, 2024: 0.0145, 2025: 0.0701, 2026: 0.2609}",,,,
A_base_direct_vbt,127.0,0.5808,1.992,1.568,2.374,0.1576,0.4232,0.449,"{2016: 0.0214, 2017: 0.0026, 2018: 0.0045, 2019: 0.0601, 2020: 0.085, 2021: -0.0286, 2022: 0.0568, 2023: 0.0335, 2024: 0.0145, 2025: 0.0701, 2026: 0.2609}",,,,
B_truncation_causal,,,,,,,,,,True,,,
C_delay1,141.0,0.4948,1.729,1.083,2.537,0.0312,0.4636,0.426,"{2016: -0.0083, 2017: -0.0083, 2018: -0.0313, 2019: 0.0551, 2020: 0.0614, 2021: -0.0571, 2022: 0.1219, 2023: -0.0018, 2024: -0.0132, 2025: 0.0439, 2026: 0.3326}",,,,
D_cost15,127.0,0.5708,1.965,1.537,2.353,0.1511,0.4196,0.433,"{2016: 0.0206, 2017: 0.0003, 2018: 0.0038, 2019: 0.0593, 2020: 0.0844, 2021: -0.0297, 2022: 0.0559, 2023: 0.0322, 2024: 0.0138, 2025: 0.0695, 2026: 0.2607}",,,,
E_ex2022,,,,,,,,,,,0.5241,0.5365,0.0568
F_stopexit_close,127.0,0.5723,1.971,1.542,2.359,0.1519,0.4204,0.441,"{2016: 0.021, 2017: 0.0015, 2018: 0.0033, 2019: 0.0594, 2020: 0.0843, 2021: -0.0299, 2022: 0.0561, 2023: 0.0325, 2024: 0.0138, 2025: 0.0696, 2026: 0.2607}",,,,
F_intrabar_hl,124.0,0.1286,1.268,1.641,0.978,0.1345,-0.0059,0.444,"{2016: 0.0284, 2017: -0.023, 2018: 0.0109, 2019: -0.0157, 2020: 0.092, 2021: 0.0419, 2022: -0.0216, 2023: 0.0058, 2024: 0.06, 2025: 0.0109, 2026: -0.0609}",,,,
F_intrabar_hl_exitclose,124.0,0.3731,1.978,2.378,1.626,0.2463,0.1268,0.492,"{2016: 0.0397, 2017: 0.0014, 2018: 0.0173, 2019: -0.0033, 2020: 0.0996, 2021: 0.0916, 2022: 0.0032, 2023: 0.0295, 2024: 0.0932, 2025: 0.0329, 2026: -0.032}",,,,
G_delay1_cost15,141.0,0.4838,1.706,1.064,2.512,0.0245,0.4594,0.426,"{2016: -0.0088, 2017: -0.0105, 2018: -0.0324, 2019: 0.0542, 2020: 0.0608, 2021: -0.0585, 2022: 0.1208, 2023: -0.0033, 2024: -0.0139, 2025: 0.0431, 2026: 0.3323}",,,,
