label,tf,side,params,n,trades_per_year,sum_ret,pool_pf,is_pf,oos_pf,is_sum,oos_sum,mean_bps,win_rate,avg_bars,yearly_pos,worst_year
donch_e55x20_H4_both,H4,both,"entry_window=55,exit_window=20",5932,595.6,-5.0079,0.803,0.829,0.771,-2.4039,-2.604,-8.44,0.354,31.9,1/11,-1.3291
donch_e55x50_H4_both,H4,both,"entry_window=55,exit_window=50",3840,385.5,-4.0181,0.831,0.848,0.811,-2.025,-1.9931,-10.46,0.349,76.1,3/11,-1.4329
donch_e100x20_H4_both,H4,both,"entry_window=100,exit_window=20",4280,430.9,-3.1973,0.82,0.884,0.746,-1.1074,-2.0899,-7.47,0.354,32.3,2/11,-0.9455
donch_e100x50_H4_both,H4,both,"entry_window=100,exit_window=50",2789,280.8,-2.7854,0.838,0.879,0.788,-1.1508,-1.6346,-9.99,0.356,78.3,3/11,-1.1772
donch_e200x20_H4_both,H4,both,"entry_window=200,exit_window=20",2951,299.0,-3.1444,0.751,0.815,0.679,-1.2297,-1.9147,-10.66,0.343,31.6,1/11,-0.6741
donch_e200x50_H4_both,H4,both,"entry_window=200,exit_window=50",1946,197.2,-3.2757,0.741,0.78,0.695,-1.516,-1.7597,-16.83,0.332,77.1,3/11,-0.7574
donch_e20x10_D1_both,D1,both,"entry_window=20,exit_window=10",2671,268.9,-2.7899,0.834,0.881,0.778,-1.0959,-1.694,-10.45,0.355,16.0,3/11,-1.0448
donch_e20x20_D1_both,D1,both,"entry_window=20,exit_window=20",1932,194.5,-2.9233,0.822,0.86,0.776,-1.2405,-1.6827,-15.13,0.347,30.5,4/11,-0.9744
donch_e55x10_D1_both,D1,both,"entry_window=55,exit_window=10",1560,158.8,-2.7786,0.737,0.818,0.648,-1.0032,-1.7755,-17.81,0.326,15.9,2/11,-0.6431
donch_e55x20_D1_both,D1,both,"entry_window=55,exit_window=20",1144,116.5,-3.2522,0.693,0.746,0.635,-1.399,-1.8531,-28.43,0.335,31.1,0/11,-0.6262
donch_e100x10_D1_both,D1,both,"entry_window=100,exit_window=10",1107,114.4,-2.0956,0.721,0.8,0.638,-0.7707,-1.3248,-18.93,0.336,16.0,2/11,-0.4899
donch_e100x20_D1_both,D1,both,"entry_window=100,exit_window=20",811,83.8,-2.4246,0.675,0.715,0.631,-1.1197,-1.3049,-29.9,0.346,31.5,1/11,-0.5166
donch_e13x4_W1_both,W1,both,"entry_window=13,exit_window=4",855,87.8,-3.1992,0.639,0.654,0.62,-1.6627,-1.5365,-37.42,0.315,6.4,1/11,-0.7648
donch_e13x8_W1_both,W1,both,"entry_window=13,exit_window=8",636,65.3,-3.8766,0.584,0.587,0.58,-2.1219,-1.7547,-60.95,0.324,12.1,1/11,-1.0266
donch_e26x4_W1_both,W1,both,"entry_window=26,exit_window=4",563,59.3,-2.7772,0.548,0.47,0.639,-1.752,-1.0252,-49.33,0.306,6.4,2/11,-0.5852
donch_e26x8_W1_both,W1,both,"entry_window=26,exit_window=8",424,44.7,-2.9747,0.525,0.468,0.595,-1.8238,-1.1509,-70.16,0.297,12.1,2/11,-0.7549
