label,tf,n,trades_per_year,sum_ret,pool_pf,is_pf,oos_pf,is_sum,oos_sum,mean_bps,win_rate,avg_bars,yearly_pos,worst_year
tsmom_lb20_D1_both,D1,6199,624.1,-4.5773,0.819,0.867,0.763,-1.7835,-2.7939,-7.38,0.311,9.5,1/11,-1.2584
tsmom_lb60_D1_both,D1,3691,376.5,-5.1327,0.713,0.729,0.694,-2.6078,-2.5249,-13.91,0.302,15.8,2/11,-0.9986
tsmom_lb120_D1_both,D1,2665,277.2,-6.8375,0.559,0.545,0.577,-3.9713,-2.8662,-25.66,0.263,21.4,1/11,-1.5052
tsmom_lb250_D1_both,D1,1877,204.0,-2.0238,0.788,0.842,0.728,-0.7951,-1.2287,-10.78,0.297,29.1,2/10,-1.0802
tsmom_lb120_H4_both,H4,12790,1289.4,-6.048,0.799,0.848,0.745,-2.4089,-3.6391,-4.73,0.282,23.8,1/11,-1.0119
tsmom_lb360_H4_both,H4,7211,737.8,-4.2414,0.779,0.816,0.741,-1.7957,-2.4456,-5.88,0.276,41.5,1/11,-1.0863
tsmom_lb12_W1_both,W1,1430,146.6,-3.2138,0.74,0.725,0.756,-1.7908,-1.423,-22.47,0.322,6.8,2/11,-0.9092
tsmom_lb26_W1_both,W1,960,101.2,-2.3393,0.752,0.778,0.723,-1.1163,-1.223,-24.37,0.333,9.8,3/11,-0.8849
tsmom_voln_lb60_D1_both,D1,3645,371.8,-4.9278,0.715,0.715,0.715,-2.7039,-2.2239,-13.52,0.311,15.1,1/11,-0.9869
tsmom_voln_lb120_D1_both,D1,2622,272.8,-6.1874,0.582,0.553,0.62,-3.7226,-2.4647,-23.6,0.26,20.9,3/11,-1.4873
